Distance Metric,EEG_Eye_State_hr_mc (Silhouette Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Silhouette Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Silhouette Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Silhouette Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Silhouette Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Silhouette Score),Wine_mr_mc (Rank),abalone_hr_lc (Silhouette Score),abalone_hr_lc (Rank),bupa_lr_lc (Silhouette Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Silhouette Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Silhouette Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (Silhouette Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Silhouette Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Silhouette Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Silhouette Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Silhouette Score),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Silhouette Score),solar_flare_mr_mc (Rank),vehicle_lr_hc (Silhouette Score),vehicle_lr_hc (Rank),yeast_mr_lc (Silhouette Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
kl_divergence,0.99917561019601,13.0,,,,,0.7895688733117898,12.0,0.8332110444165063,13.0,0.285971694226791,1.0,0.9658941562704244,12.0,0.4076014987048209,5.0,0.2940535717050977,3.0,0.7268849213952082,12.0,0.6639149644924276,12.0,0.6004784437322359,12.0,0.4647020620832893,3.0,0.7158495142318451,11.0,0.4861431954376453,11.0,0.3203520257003811,7.0,0.570188377934473,12.0,0.9024304575228737,12.0,151.0
bhattacharyya,0.9991671878986452,12.0,,,,,0.7402338453180406,11.0,0.6063827458334833,11.0,0.4820001120130282,10.0,0.8889393357409742,10.0,0.654479600975432,12.0,,,0.7729931235443369,13.0,0.4813457089204671,9.0,0.3837682302088412,9.0,0.6995136868087118,5.0,0.6395238306765167,10.0,0.4848436424782449,10.0,0.3160675765725931,6.0,0.5426082300325722,11.0,0.7895490870590433,11.0,150.0
cosine,0.7671744652023004,8.0,0.5504375979051016,8.0,0.3157278765838746,9.0,0.7191680556432269,10.0,0.6243374327573447,12.0,0.4985290350115441,11.0,0.9108708501970204,11.0,0.5662742820443889,11.0,,,0.4940528473637262,10.0,0.6357324594778484,11.0,0.3932903584127847,10.0,,,0.2605344035643036,2.0,0.2149462126483865,1.0,,,0.3508744474071251,7.0,0.6976320035414412,10.0,131.0
earth_movers,0.1894594880901808,2.0,,,0.2352810619661406,6.0,0.5783883386074663,9.0,0.3903209017978069,7.0,0.599511119357128,12.0,0.5746389687473316,3.0,0.2157444544015136,3.0,0.5124860128382657,4.0,0.6246383861917224,11.0,0.3519375340489472,4.0,0.4448453551939713,11.0,0.6076609149999441,4.0,0.5549810193771034,9.0,0.4934856487536618,12.0,0.509544144387603,10.0,0.3247118856818311,5.0,0.4660633026495445,4.0,116.0
manhattan,0.480124210499627,3.0,0.5007187694120022,6.0,0.2494783163739853,7.0,0.541559258946394,7.0,0.2961085612537377,5.0,0.3389252233720565,5.0,0.6881477709194498,6.0,0.4223521178255309,8.0,,,0.3745078950643741,6.0,0.399113674207607,6.0,0.2937732914907561,7.0,,,0.4977733279063439,8.0,0.3607362334758373,5.0,0.3414107979272669,8.0,0.2897730967199569,1.0,0.5001418871275534,5.0,93.0
chebyshev,0.5969073519627552,7.0,0.5466418200845371,7.0,,,0.5469800141906875,8.0,0.5974033635187043,10.0,0.3911759641787918,9.0,0.7524901500376875,9.0,0.1848378290825715,2.0,,,0.3938855034070807,7.0,0.4845799730034117,10.0,0.0937597107500246,1.0,,,,,0.2997211973102116,3.0,,,0.3562350958763133,8.0,0.5913522508803243,9.0,90.0
jensen_shannon,0.9891542877876076,11.0,,,,,0.5382021562082459,3.0,0.3780023077695515,6.0,0.3307383498545028,4.0,0.6635446141253383,5.0,0.4536065093832013,9.0,,,0.4937144764967304,9.0,0.2916483270396685,3.0,0.1931632001660677,3.0,0.4619118567245573,2.0,0.3984751495839465,6.0,0.3720180822837506,8.0,0.2437328182660969,3.0,0.3618125173582575,9.0,0.5215703151271049,6.0,87.0
euclidean,0.5539042298598299,4.5,0.4688305020901965,3.5,0.1696704028849658,3.5,0.539006043047632,4.5,0.4554859525797864,8.5,0.3429678585116197,6.5,0.7367671509506973,7.5,0.4172514955317494,6.5,,,0.322452828849142,3.5,0.415196056445228,7.5,0.2079357095051262,4.5,,,0.3266235650377584,4.5,0.3693969930645074,6.5,0.2321491136946696,1.5,0.3227761534744919,3.5,0.5294504136928964,7.5,84.0
minkowski,0.5539042298598299,4.5,0.4688305020901965,3.5,0.1696704028849658,3.5,0.539006043047632,4.5,0.4554859525797864,8.5,0.3429678585116197,6.5,0.7367671509506973,7.5,0.4172514955317494,6.5,,,0.322452828849142,3.5,0.415196056445228,7.5,0.2079357095051262,4.5,,,0.3266235650377584,4.5,0.3693969930645074,6.5,0.2321491136946696,1.5,0.3227761534744919,3.5,0.5294504136928964,7.5,84.0
total_variation,0.559972386952881,6.0,0.4774757349944639,5.0,0.0968454827944978,1.0,0.5401329241497613,6.0,0.2452310158837116,3.0,0.314668507103291,2.0,0.5370770899991908,2.0,0.5445920587095213,10.0,,,0.3623171787692124,5.0,0.2486302135116798,1.0,0.1359706478261141,2.0,,,0.4640637655696232,7.0,0.4644912209358909,9.0,0.3467689988592597,9.0,0.3415582016428332,6.0,0.278100575616597,1.0,75.0
canberra,0.8631496763158815,9.0,0.466012626287878,2.0,0.1785769093161536,5.0,0.349879592921803,1.0,0.2904899260451922,4.0,0.3175212595664327,3.0,0.5333775074903621,1.0,0.1733030373133737,1.0,0.1620692198233448,1.0,0.4076385296194361,8.0,0.3983384876754783,5.0,0.2610438561899644,6.0,0.3696469600516286,1.0,0.2609748710047955,3.0,0.262986664110567,2.0,0.3104951492247195,5.0,0.3731366623117667,10.0,0.4191915269123868,3.0,70.0
braycurtis,0.9839332935915818,10.0,0.4538017717010707,1.0,0.2910654051878971,8.0,0.5284454391463321,2.0,0.0957076848099979,2.0,0.351743284942057,8.0,0.6042486240457834,4.0,0.3479875850266117,4.0,0.1981460747764753,2.0,0.3118869547665031,2.0,0.2801645764268604,2.0,0.3133344550870104,8.0,,,,,0.3436567187669226,4.0,,,0.3132062586390974,2.0,0.4057188022878744,2.0,61.0
hamming,0.0090072461668722,1.0,,,0.1219561796831563,2.0,,,0.0871063244636723,1.0,,,,,,,,,0.2514496912982375,1.0,,,,,,,0.1999974991891721,1.0,,,0.3018978412138723,4.0,,,,,10.0
