Distance Metric,EEG_Eye_State_hr_mc (Adjusted Rand Index),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Adjusted Rand Index),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Adjusted Rand Index),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Adjusted Rand Index),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Adjusted Rand Index),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Adjusted Rand Index),Wine_mr_mc (Rank),abalone_hr_lc (Adjusted Rand Index),abalone_hr_lc (Rank),bupa_lr_lc (Adjusted Rand Index),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Adjusted Rand Index),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Adjusted Rand Index),contaceptive_mr_lc (Rank),ecoli_lr_lc (Adjusted Rand Index),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Adjusted Rand Index),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Adjusted Rand Index),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Adjusted Rand Index),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Adjusted Rand Index),page_blocks_classification_hr_mc (Rank),vehicle_lr_hc (Adjusted Rand Index),vehicle_lr_hc (Rank),yeast_mr_lc (Adjusted Rand Index),yeast_mr_lc (Rank),FINAL BORDA SCORE
cosine,0.0188827900728641,13.0,0.5473869178217738,13.0,0.279955962900951,8.0,0.0324918372304108,12.0,0.0024150555882305,4.0,0.0629082925572488,13.0,0.0535840549669175,9.0,0.0127148128801387,11.0,0.0082554368605892,9.0,0.014552383592677,4.0,0.2198745322854023,2.0,-0.0032179921723635,2.0,0.1037703718300428,12.0,0.0094356627679705,11.0,0.0718586973004225,13.0,0.1283793271698645,12.0,0.0711011406464411,5.0,153.0
euclidean,0.0058651363130044,7.0,0.4929190830287726,11.0,0.3312904914747651,9.0,-0.0005561215877339,5.0,0.0024150555882305,4.0,0.0376889252713428,6.0,0.063804939267509,12.0,0.0002002575018413,7.0,0.0020220531610746,5.0,0.0362941741800406,11.0,0.3964778833335683,11.0,0.0959945397410534,12.0,0.1035182088932055,10.0,-0.0258063674216337,4.0,0.0402803506146735,9.0,0.103081209573169,10.0,0.1377879992955115,12.0,145.0
minkowski,0.0058651363130044,7.0,0.4929190830287726,11.0,0.3312904914747651,9.0,-0.0005561215877339,5.0,0.0024150555882305,4.0,0.0376889252713428,6.0,0.063804939267509,12.0,0.0002002575018413,7.0,0.0020220531610746,5.0,0.0362941741800406,11.0,0.3964778833335683,11.0,0.0959945397410534,12.0,0.1035182088932055,10.0,-0.0258063674216337,4.0,0.0402803506146735,9.0,0.103081209573169,10.0,0.1377879992955115,12.0,145.0
jensen_shannon,0.0055146365724533,6.0,0.2469527187093643,6.0,0.3313696946706509,11.0,-0.0056736756470608,2.0,0.0104454846165123,9.0,0.0435031699737998,10.0,0.0594765000300406,11.0,-0.0024856111778939,3.0,0.0256849688678452,11.0,0.0302926665063795,9.0,0.3319064565502932,6.0,0.0424588603029574,9.0,0.113659953062108,13.0,0.0235356910261997,12.0,0.0327799897775603,8.0,0.0972991954077576,7.0,0.1097339729630187,9.0,142.0
manhattan,0.0088996135196221,12.0,0.4546342628172591,10.0,0.403658949578728,13.0,-0.0018676284403743,4.0,0.0120921619806965,10.0,0.0267821462883262,4.0,0.0515411529211323,7.0,0.057902179869145,13.0,0.0015779619811941,4.0,0.0396438984797354,13.0,0.3066245826866949,3.0,0.0500104940523862,11.0,0.0497704646776273,3.0,7.280367341678627e-05,8.0,0.0106290765191221,4.0,0.0710072329994455,3.0,0.0796184967862458,6.0,128.0
bhattacharyya,0.0079176988630838,10.0,0.4286470849211152,8.0,0.0297579511978371,5.0,-0.025777538217142,1.0,0.0035499912522964,8.0,0.0428617898053725,9.0,0.0505024024651709,6.0,0.0007145893539001,9.0,0.0284525564343941,12.0,0.0019666306224279,2.0,0.3702426140870997,9.0,-0.0007120512835993,5.0,0.091713825877898,9.0,-0.0268017687459358,3.0,0.0316394505368101,7.0,0.1314370975216978,13.0,0.1375595955778187,11.0,127.0
kl_divergence,0.0074971817521109,9.0,0.4280794997353525,7.0,0.0056642715711642,3.0,0.0029266368823914,8.0,0.0030779374470969,7.0,0.0492654365790109,11.0,0.0498422731659832,5.0,-0.0062849716399065,1.0,0.031310275882855,13.0,0.0085406739247143,3.0,0.4200054341845624,13.0,-0.0037158839743953,1.0,0.0872901000955507,8.0,0.1424708439852968,13.0,0.0050263750879465,3.0,0.1003289978998219,9.0,0.1248611816043035,10.0,124.0
total_variation,0.0035033341196655,3.0,0.4430170475502477,9.0,0.3547109163874511,12.0,0.0004279888871776,7.0,0.0187111010328201,12.0,0.0110057306952672,3.0,0.0498250788480492,4.0,-0.0042788272914841,2.0,0.0160027101062625,10.0,0.034761008192532,10.0,0.3218070395613213,5.0,0.0139789570455822,6.0,0.070854191146989,7.0,0.0082109113965371,10.0,0.0117609824830175,5.0,0.0790739188842286,4.0,0.064605932139771,4.0,113.0
braycurtis,0.0086872130874123,11.0,0.0505137083063248,3.0,-0.0021826390403616,2.0,0.0060168415112211,9.0,0.0150099549378093,11.0,0.0404653695747778,8.0,0.0563390831378008,10.0,-0.0002199326479277,6.0,0.0047611831465347,7.0,0.0298376302686777,8.0,0.3926731027328225,10.0,-0.0008432844703858,4.0,0.0567190448606829,5.0,-0.0641287698335924,1.0,0.0041589756323715,2.0,0.0973890685817084,8.0,0.0811230797268915,7.0,112.0
earth_movers,0.001463067125176,2.0,-0.0130696868969623,1.0,0.2264555122976081,6.0,0.0350618039345945,13.0,0.0217390989287462,13.0,0.0046590726907648,2.0,0.0411553247362293,3.0,-0.0002564876138415,5.0,0.0001459681847852,3.0,0.0257171341224013,7.0,0.3530380035694423,8.0,0.0203519439400274,8.0,0.0188076343235888,2.0,-0.0003554878585171,7.0,0.0682059216571253,12.0,0.0820129045785493,5.0,0.0613670274479808,2.0,99.0
