Distance Metric,EEG_Eye_State_hr_mc (Silhouette Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Silhouette Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Silhouette Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Silhouette Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Silhouette Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Silhouette Score),Wine_mr_mc (Rank),abalone_hr_lc (Silhouette Score),abalone_hr_lc (Rank),bupa_lr_lc (Silhouette Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Silhouette Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Silhouette Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (Silhouette Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Silhouette Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Silhouette Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Silhouette Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Silhouette Score),page_blocks_classification_hr_mc (Rank),vehicle_lr_hc (Silhouette Score),vehicle_lr_hc (Rank),yeast_mr_lc (Silhouette Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
earth_movers,0.4605829454720715,11.0,,,0.4740691770278052,13.0,0.3442021392144039,12.0,0.5759821286504632,10.0,0.2543448355586648,12.0,0.3850533443705712,10.0,0.4579425304362925,11.0,0.4162806272937867,13.0,0.3275234419915316,13.0,0.3594227117429251,13.0,0.4957869376207798,13.0,0.1813710372354672,13.0,0.407921131913036,13.0,0.2933570658719517,9.0,0.5250499105812141,13.0,0.2339867837743076,13.0,192.0
cosine,0.3832031112007294,9.0,0.8018468981103558,9.0,0.2597681834840631,8.0,0.8819459009656083,13.0,0.6428827925270615,12.0,0.2943929855313256,13.0,0.4740305751466039,13.0,0.3381573033799264,9.0,0.0664528351368439,11.0,0.1526248058542157,9.0,0.2572172272037403,11.0,0.1939996506197061,11.0,0.0791020973655676,10.0,0.154738340931489,9.0,0.5102906910721187,12.0,0.4216079285778163,12.0,0.115442618058208,9.0,180.0
bhattacharyya,0.7387549082399961,12.0,,,0.3332158321169944,11.0,0.1294491783782846,8.0,0.6122744155129052,11.0,0.1872269162271775,10.0,0.444966287564927,11.0,0.4606036843707565,12.0,0.0645890077012209,10.0,0.0613078062323539,4.0,0.2634422134059986,12.0,0.0850647376693523,7.0,0.0937450118612914,11.0,0.1828662978047007,11.0,0.4300010112879674,10.0,0.3435761332802093,10.0,0.1439703320092503,12.0,162.0
kl_divergence,0.7388686005172187,13.0,,,0.3083155354100702,10.0,-0.0294421561462513,1.0,0.7789468232337621,13.0,0.2274549904999585,11.0,0.4502691125742626,12.0,0.5023801869390893,13.0,0.0676467134849908,12.0,0.0038699669714245,2.0,0.2212362445404316,10.0,0.0586353269989702,3.0,0.0996228516601372,12.0,0.1942892063712173,12.0,0.4407953933180734,11.0,0.4075005457430889,11.0,-0.0613537325917897,1.0,147.0
total_variation,0.333757441099918,8.0,0.1752376440753971,2.0,0.377981961680928,12.0,0.1160556167299289,5.0,0.4006178419073167,5.0,0.1296684323195803,8.0,0.3755765317865136,9.0,0.3937059498404895,10.0,0.0317362528827941,4.0,0.1340148842547372,8.0,0.2110360303352117,9.0,0.2503248683603915,12.0,0.0649838861842895,9.0,0.1498630517489609,8.0,0.244717600840312,5.0,0.3312422462799403,9.0,0.0515945845649058,4.0,127.0
euclidean,0.2044528269795973,3.5,0.6073536872010472,7.5,0.1937059294089924,5.5,0.1223361315761146,6.5,0.4547302378287395,8.5,0.1073458890022852,5.5,0.3308227749318162,7.5,0.185654256595135,5.5,0.0347354826181666,6.5,0.1062175965245749,6.5,0.2081864164272734,7.5,0.0651508176802076,4.5,0.0628842515579136,7.5,0.1301069940752845,5.5,0.2775626572111073,6.5,0.3039507266016064,7.5,0.1203162376615379,10.5,112.5
minkowski,0.2044528269795973,3.5,0.6073536872010472,7.5,0.1937059294089924,5.5,0.1223361315761146,6.5,0.4547302378287395,8.5,0.1073458890022852,5.5,0.3308227749318162,7.5,0.185654256595135,5.5,0.0347354826181666,6.5,0.1062175965245749,6.5,0.2081864164272734,7.5,0.0651508176802076,4.5,0.0628842515579136,7.5,0.1301069940752845,5.5,0.2775626572111073,6.5,0.3039507266016064,7.5,0.1203162376615379,10.5,112.5
canberra,0.3931208884477771,10.0,0.3560220045995989,5.0,0.245287361581378,7.0,0.2372807150390314,11.0,0.0983040505719172,2.0,0.0924999090694105,4.0,0.2869090989257148,2.0,0.2238241398092617,7.0,0.0228810705595567,3.0,0.194819068747939,12.0,0.164884187698863,4.0,0.1114693326898311,10.0,0.0104558510545688,3.0,0.1761608049280197,10.0,0.2354491169498921,3.0,0.2273935980363482,3.0,0.0497055776435324,3.0,99.0
braycurtis,0.2824994766059307,6.0,0.1895085873973002,3.0,0.0561853859536527,1.0,0.1726383498088652,10.0,0.4129458359462258,6.0,0.1241249811951712,7.0,0.3204766780365584,5.0,0.1135927624379143,3.0,0.0358741942913026,8.0,0.166463384029006,11.0,0.1864832582432315,5.0,0.0975645716601767,9.0,0.0355445324766365,4.0,0.0590538911175906,3.0,0.2010438724105848,2.0,0.3016106391815303,6.0,0.1009262052723652,7.0,96.0
manhattan,0.2810778508673771,5.0,0.6006484188753108,6.0,0.2729394911204603,9.0,0.0519501021914383,4.0,0.4180431433612727,7.0,0.0845897595769114,3.0,0.3206723058561196,6.0,0.0887440721555164,2.0,0.0382109693962425,9.0,0.1576726799145226,10.0,0.1517780566106743,2.0,0.0826665728442133,6.0,0.0540380456645163,6.0,0.1331925058681995,7.0,0.1958958833376265,1.0,0.3012551489713436,5.0,0.0882822424150978,6.0,94.0
