Distance Metric,EEG_Eye_State_hr_mc (Normalized Mutual Info),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Normalized Mutual Info),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Normalized Mutual Info),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Normalized Mutual Info),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Normalized Mutual Info),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Normalized Mutual Info),Wine_mr_mc (Rank),abalone_hr_lc (Normalized Mutual Info),abalone_hr_lc (Rank),bupa_lr_lc (Normalized Mutual Info),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Normalized Mutual Info),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Normalized Mutual Info),contaceptive_mr_lc (Rank),ecoli_lr_lc (Normalized Mutual Info),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Normalized Mutual Info),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Normalized Mutual Info),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Normalized Mutual Info),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Normalized Mutual Info),page_blocks_classification_hr_mc (Rank),vehicle_lr_hc (Normalized Mutual Info),vehicle_lr_hc (Rank),yeast_mr_lc (Normalized Mutual Info),yeast_mr_lc (Rank),FINAL BORDA SCORE
bhattacharyya,0.0047266532576626,10.0,0.2898879827102771,9.0,0.024053621043657,5.0,0.0419621031782213,11.0,0.0020089710979846,8.0,0.0899579630289185,7.0,0.1714152212697734,12.0,0.004170972036348,8.0,0.0424110797433078,8.0,0.0390713008393805,12.0,0.5246214292625334,9.0,0.0092041960557522,5.0,0.2810788604652599,9.0,0.0482114088265959,12.0,0.1109807251418773,12.0,0.1440431698377282,12.0,0.2616344616621965,13.0,162.0
kl_divergence,0.0044829074797982,8.0,0.2895043318600877,8.0,0.0109262074325529,2.0,0.0668601109932113,12.0,0.0017233981110649,7.0,0.0861760355244845,6.0,0.1706451029501054,11.0,0.0159861152420905,12.0,0.0438730851473834,11.0,0.0390997315234917,13.0,0.5558527458224731,10.0,0.014042425449969,7.0,0.3067059053967635,13.0,0.0918020716105884,13.0,0.0543472420579158,3.0,0.1224496286126472,7.0,0.2529186173124409,12.0,155.0
euclidean,0.0049608343480529,11.0,0.3188674429629562,11.0,0.2559609357566377,10.0,0.0031985123533982,4.0,0.0013346607371272,4.0,0.0920450696406826,8.0,0.1552021236398715,3.0,0.0022290838560912,4.0,0.0435432725460207,9.0,0.0354907286101622,9.0,0.5917278368694489,12.0,0.0766846674395738,12.0,0.2822856372379788,10.0,0.0204907790567844,7.0,0.0917276113210078,9.0,0.1372955067160435,10.0,0.2509946096472721,10.0,143.0
minkowski,0.0049608343480529,11.0,0.3188674429629562,11.0,0.2559609357566377,10.0,0.0031985123533982,4.0,0.0013346607371272,4.0,0.0920450696406826,8.0,0.1552021236398715,3.0,0.0022290838560912,4.0,0.0435432725460207,9.0,0.0354907286101622,9.0,0.5917278368694489,12.0,0.0766846674395738,12.0,0.2822856372379788,10.0,0.0204907790567844,7.0,0.0917276113210078,9.0,0.1372955067160435,10.0,0.2509946096472721,10.0,143.0
cosine,0.0097528578931293,13.0,0.3699710401195991,13.0,0.2251906701898762,8.0,0.0055983277818723,9.0,0.0013346607371272,4.0,0.1054454322471762,13.0,0.1727281463027104,13.0,0.0126403193922876,11.0,0.0034101981466612,2.0,0.0301296597009946,6.0,0.4073822471730274,2.0,0.0010840823582403,3.0,0.2614175008736164,8.0,0.0065847603055246,3.0,0.0906076283428468,8.0,0.1476946206712548,13.0,0.1632030023760467,2.0,131.0
jensen_shannon,0.0039719939126265,6.0,0.1950561735253872,6.0,0.2556842551241716,9.0,0.00037583797862,2.0,0.0068463820641956,9.0,0.0932109217459653,11.0,0.162961795663693,7.0,0.0027295697828203,7.0,0.0409851428537431,7.0,0.0269358859949154,5.0,0.5193835032448431,8.0,0.0401234043866851,10.0,0.2986767443295487,12.0,0.0325876655967588,10.0,0.0801346468696448,7.0,0.1177308222540015,6.0,0.2358495995892989,9.0,131.0
manhattan,0.0045212034365941,9.0,0.3019622399606797,10.0,0.3226769331943592,13.0,0.0041749966856853,7.0,0.0089862978409167,10.0,0.071591083448284,5.0,0.1693584773847706,9.0,0.0414873638392826,13.0,0.0324980514057305,6.0,0.0351786487561747,8.0,0.4918308936085153,4.0,0.04045569221661,11.0,0.164560070781523,3.0,0.0090740949540009,5.0,0.0614732861681645,5.0,0.1170798960606796,5.0,0.1867475223611588,7.0,130.0
total_variation,0.0021796739447402,3.0,0.2518598170344437,7.0,0.2745887659977596,12.0,0.0013716594446265,3.0,0.0147951232170787,12.0,0.0342121845218361,3.0,0.1636080693040016,8.0,0.0008647479644784,2.0,0.0457574575001491,12.0,0.0373461434108383,11.0,0.5109001935960213,7.0,0.0157545222863957,8.0,0.2297954281500128,7.0,0.0074310620254834,4.0,0.0641218435853607,6.0,0.1097955411253037,4.0,0.1649587694449648,3.0,112.0
braycurtis,0.004424933070428,7.0,0.0718310349581088,3.0,0.0002129658314284,1.0,0.0046041412600848,8.0,0.0110159961629362,11.0,0.0926117843970235,10.0,0.1575431697405522,5.0,0.0045351674680506,9.0,0.0126640665442499,3.0,0.0342775688573748,7.0,0.5761037595915813,11.0,1.460769177187257e-07,1.0,0.1835148436510995,5.0,0.0462649439788175,11.0,0.0608284224326515,4.0,0.1361618212297037,9.0,0.1806080029723024,6.0,111.0
canberra,0.0037246491189766,5.0,0.1255005571510857,4.0,0.2101202265637952,7.0,0.0847282807238271,13.0,0.0002872804824591,2.0,0.0965216022630408,12.0,0.1704257564134594,10.0,0.0018489707752764,3.0,0.0462869280277308,13.0,0.0209887605492754,3.0,0.5031340586433567,5.0,0.0001014214360473,2.0,0.1653067395695633,4.0,0.0265625900642393,9.0,0.0451605509117847,2.0,0.1321748004632168,8.0,0.1649700772882741,4.0,106.0
