Distance Metric,EEG_Eye_State_hr_mc (F1 Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (F1 Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (F1 Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (F1 Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (F1 Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (F1 Score),Wine_mr_mc (Rank),abalone_hr_lc (F1 Score),abalone_hr_lc (Rank),bupa_lr_lc (F1 Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (F1 Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (F1 Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (F1 Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (F1 Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (F1 Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (F1 Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (F1 Score),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (F1 Score),solar_flare_mr_mc (Rank),vehicle_lr_hc (F1 Score),vehicle_lr_hc (Rank),yeast_mr_lc (F1 Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
braycurtis,0.8343883015288395,10.0,0.9782375663316144,8.0,0.8248030420955527,12.0,0.6364417987479357,6.0,0.6470623197876864,11.0,0.5399990042780628,11.0,0.2209344081420047,12.0,0.6395578138051475,11.0,0.9083065361121287,12.0,0.4800670523071074,7.0,0.8530445930570927,10.0,0.7113362735189375,10.0,0.9498647936196516,11.0,0.8220606704369289,6.0,0.961949430557536,9.0,0.987062087068044,7.0,0.9300835396433764,12.0,0.5699340150513106,13.0,178.0
canberra,0.834074557477566,8.0,0.9778756831270016,6.0,0.841187266660743,13.0,0.6979786086098899,13.0,0.6435208681074911,10.0,0.5405622084805624,12.0,0.2247553299306889,13.0,0.6300908845156903,8.0,0.9005835439591184,11.0,0.4963057071036809,13.0,0.8342175978726771,4.0,0.6946260552719941,3.0,0.9408750600551798,5.0,0.8551189771947465,10.0,0.9686247550181476,13.0,0.987062087068044,7.0,0.9339399418584036,13.0,0.5585868414563938,11.0,173.0
manhattan,0.8342520009035045,9.0,0.9782072905981865,7.0,0.810829101056861,8.0,0.6373557997678552,7.0,0.647940022421586,12.0,0.5364573394357093,6.0,0.2207997423711657,11.0,0.6430147778820713,12.0,0.8999077977156043,10.0,0.484855100095568,12.0,0.8586141478803789,13.0,0.7051228408211834,8.0,0.9496859530367352,10.0,0.8195982461053202,4.0,0.9604378229271034,7.0,0.987062087068044,7.0,0.919146790990736,11.0,0.559118436571806,12.0,166.0
jensen_shannon,0.8712730594643933,12.0,,,0.8241527280677428,11.0,0.6801922694606477,11.0,0.6373075701779852,9.0,0.5278497719058445,3.0,0.2185924588621376,9.0,0.6316832836615798,9.0,0.8919398061557111,4.0,0.4797976110294123,6.0,0.8513516203805326,9.0,0.7033261482615845,7.0,0.9460297259206248,8.0,0.8588968570749922,11.0,0.9652091781068014,10.0,0.987062087068044,7.0,0.8012309451204374,4.0,0.5478234175093334,4.0,134.0
euclidean,0.8304672124125874,6.5,0.9775822696719894,4.5,0.79497782887613,3.5,0.6255146836695277,2.5,0.6279700537137562,5.5,0.5382926757138542,9.5,0.2175732934389671,6.5,0.5962972080274216,3.5,0.8988108387012417,8.5,0.4829304011227481,9.5,0.85622291506766,11.5,0.7201990314182268,12.5,0.9508193129127598,12.5,0.8229549565099225,7.5,0.9548194068701592,4.5,0.987062087068044,7.0,0.8908096044901861,8.5,0.5546286750902176,9.5,133.5
minkowski,0.8304672124125874,6.5,0.9775822696719894,4.5,0.79497782887613,3.5,0.6255146836695277,2.5,0.6279700537137562,5.5,0.5382926757138542,9.5,0.2175732934389671,6.5,0.5962972080274216,3.5,0.8988108387012417,8.5,0.4829304011227481,9.5,0.85622291506766,11.5,0.7201990314182268,12.5,0.9508193129127598,12.5,0.8229549565099225,7.5,0.9548194068701592,4.5,0.987062087068044,7.0,0.8908096044901861,8.5,0.5546286750902176,9.5,133.5
bhattacharyya,0.8712730594643933,12.0,,,0.8141424464017544,9.0,0.6802211677606884,12.0,0.6346017099182534,8.0,0.5285982786486079,4.0,0.2185928635401729,10.0,0.6290903808976951,7.0,0.8931304790250068,5.0,0.4795692272003785,5.0,0.8511670219509968,8.0,0.701464131982223,6.0,0.9453256397816914,7.0,0.8674884528800867,12.0,0.9652776199047164,11.0,0.987062087068044,7.0,0.8002879732718136,3.0,0.5484822979552538,7.0,133.0
cosine,0.8043836577687788,3.0,0.97544176990146,2.0,0.7916834836144586,2.0,0.635228028069221,5.0,0.6230251657248355,4.0,0.5571596614645197,13.0,0.2123204244003647,5.0,0.632153332929817,10.0,0.911772894501708,13.0,0.4846400684915833,11.0,0.7924516890839619,2.0,0.7151862221617847,11.0,0.949288782043348,9.0,0.8230090646077993,9.0,0.9619173342971165,8.0,0.987062087068044,7.0,0.907832219715841,10.0,0.5481763213194306,6.0,130.0
kl_divergence,0.8712730594643933,12.0,,,0.8103111916975866,7.0,0.6801571312519163,10.0,0.6339003226073989,7.0,0.5296028725637976,5.0,0.2185092031637187,8.0,0.6271411904821863,6.0,0.894077394376513,6.0,0.480338534961419,8.0,0.8484891644050647,7.0,0.6995781374249406,5.0,0.9427176652276988,6.0,0.881908834410692,13.0,0.9654938373198176,12.0,0.987062087068044,7.0,0.7907274666915984,2.0,0.5491382642717582,8.0,129.0
total_variation,0.8214383537263314,5.0,0.979212448904364,9.0,0.8141747366915923,10.0,0.6282045462814289,4.0,0.6485727390682834,13.0,0.5382310404160495,8.0,0.2075928903596126,4.0,0.656468832123562,13.0,0.8971758479482548,7.0,0.4682106869225825,4.0,0.8482118124308933,6.0,0.7062326479341812,9.0,0.923304009890449,4.0,0.8185592272645149,3.0,0.9557056216906212,6.0,0.987062087068044,7.0,0.8474390785129835,7.0,0.5219101062368303,3.0,122.0
