Distance Metric,EEG_Eye_State_hr_mc (Accuracy),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Accuracy),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Accuracy),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Accuracy),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Accuracy),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Accuracy),Wine_mr_mc (Rank),abalone_hr_lc (Accuracy),abalone_hr_lc (Rank),bupa_lr_lc (Accuracy),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Accuracy),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Accuracy),contaceptive_mr_lc (Rank),ecoli_lr_lc (Accuracy),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Accuracy),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Accuracy),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Accuracy),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Accuracy),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Accuracy),solar_flare_mr_mc (Rank),vehicle_lr_hc (Accuracy),vehicle_lr_hc (Rank),yeast_mr_lc (Accuracy),yeast_mr_lc (Rank),FINAL BORDA SCORE
canberra,0.8358477970627505,13.0,0.9735164624181094,5.0,0.8284699453551913,13.0,0.6338980509745127,11.0,0.6819687558817995,8.0,0.5713169386347966,12.0,0.2121170099991404,13.0,0.6898550724637681,9.0,0.9333333333333332,9.0,0.5376962988585265,13.0,0.8423617208077261,8.0,0.7230000000000001,11.0,0.9347,9.0,0.8617193836171939,10.0,0.9528593490437672,13.0,0.9690413733994752,7.0,0.9520109066121336,12.0,0.5761716261716262,5.0,181.0
jensen_shannon,0.7047999999999999,6.0,0.976,12.0,0.8216939890710382,6.0,0.6355322338830585,12.0,0.6906568793525315,11.0,0.5634643377001456,11.0,0.1824255794630834,9.0,0.7101449275362318,11.0,0.9407407407407408,11.0,0.514592413236481,8.0,0.8364793678665496,6.0,0.727,13.0,0.8705999999999999,6.0,0.8564,8.0,0.943,12.0,0.9762460068046644,12.0,0.9470802090433992,11.0,0.5903266903266904,11.0,176.0
braycurtis,0.8356475300400534,11.0,0.97368402896474,6.0,0.8218032786885245,8.0,0.6285907046476762,7.0,0.6967438358742706,13.0,0.5573316478970352,7.0,0.1955980861244019,12.0,0.6811594202898551,8.0,0.9277777777777778,7.0,0.5247964948691342,11.0,0.8543020193151888,10.0,0.7110000000000001,8.0,0.94045,10.0,0.8656934306569344,11.0,0.941348993680766,11.0,0.9460016102641352,2.0,0.9520260546845414,13.0,0.5849258349258349,9.0,164.0
manhattan,0.8357810413885179,12.0,0.9742428130575472,7.0,0.8152459016393442,5.0,0.6285907046476762,7.0,0.6932655750047054,12.0,0.5608250976786946,10.0,0.1953568461163796,11.0,0.6782608695652173,5.0,0.9314814814814816,8.0,0.532261040009224,12.0,0.8543020193151888,10.0,0.708,7.0,0.9442,11.0,0.8679643146796432,12.0,0.9378773384087552,9.0,0.9546450925901878,5.0,0.9446565174581536,10.0,0.584930384930385,10.0,163.0
euclidean,0.8143524699599466,9.0,0.9750250296187724,8.0,0.8284153005464481,11.0,0.5975562218890553,3.0,0.677639751552795,5.0,0.5599862100666514,8.0,0.1781144887258974,7.0,0.6782608695652174,6.0,0.9425925925925924,12.0,0.4806272339444252,4.0,0.8572870939420543,12.0,0.712,9.0,0.9498,12.0,0.799837793998378,4.0,0.9221633985291294,5.0,0.973368308962938,9.0,0.944618647277134,8.0,0.5977409227409227,12.0,144.0
minkowski,0.8143524699599466,9.0,0.9750250296187724,8.0,0.8284153005464481,11.0,0.5975562218890553,3.0,0.677639751552795,5.0,0.5599862100666514,8.0,0.1781144887258974,7.0,0.6782608695652174,6.0,0.9425925925925924,12.0,0.4806272339444252,4.0,0.8572870939420543,12.0,0.712,9.0,0.9498,12.0,0.799837793998378,4.0,0.9221633985291294,5.0,0.973368308962938,9.0,0.944618647277134,8.0,0.5977409227409227,12.0,144.0
total_variation,0.7384000000000001,8.0,0.9756,10.0,0.8250273224043715,9.0,0.6321139430284857,10.0,0.6854432523997742,9.0,0.5459396307362292,6.0,0.1867381027418846,10.0,0.6579710144927536,4.0,0.9333333333333332,9.0,0.5084791882854837,7.0,0.8542581211589113,9.0,0.699,4.0,0.86,5.0,0.8583999999999999,9.0,0.9294,8.0,0.9640028049762356,6.0,0.9360296902219192,5.0,0.5795431795431795,6.0,134.0
bhattacharyya,0.6496000000000001,4.0,0.976,12.0,0.8250819672131147,10.0,0.6148275862068966,5.0,0.6880444193487671,10.0,0.4610970658086263,5.0,0.1173045296965876,3.0,0.7101449275362318,11.0,0.8944444444444445,5.0,0.517308889657558,10.0,0.8304653204565409,5.0,0.726,12.0,0.8315999999999999,4.0,0.8562,7.0,0.924,7.0,0.9481624808456482,3.0,0.9433916534121032,7.0,0.5829010829010828,8.0,128.0
hamming,0.664419225634179,5.0,0.908425530055054,1.0,0.8087978142076502,3.0,0.6614392803598201,13.0,0.6124825898738943,3.0,0.5800965295334406,13.0,0.139335300690485,4.0,0.5768115942028984,2.0,0.9148148148148147,6.0,0.5166424535916062,9.0,0.5657155399473222,1.0,0.701,5.0,0.89205,7.0,0.8725060827250608,13.0,0.9408013823846136,10.0,0.9719242656416384,8.0,0.8093312126031963,4.0,0.438003913003913,1.0,108.0
cosine,0.7255006675567423,7.0,0.968096796801953,3.0,0.8119672131147541,4.0,0.5889355322338832,2.0,0.6793713532843968,7.0,0.443599172603999,3.0,0.1139529553333524,2.0,0.7217391304347827,13.0,0.8851851851851851,3.0,0.492846765824974,6.0,0.7589991220368745,2.0,0.7030000000000001,6.0,0.9101,8.0,0.8145985401459853,6.0,0.9135729132754,3.0,0.939518998519596,1.0,0.9421722335832764,6.0,0.5404427154427155,4.0,86.0
kl_divergence,0.6494000000000001,3.0,0.9758,11.0,0.8216939890710382,6.0,0.6165367316341829,6.0,0.5629888951628083,1.0,0.4068681529150387,1.0,0.0517098816720625,1.0,0.6927536231884058,10.0,0.874074074074074,2.0,0.4419416580191398,2.0,0.8244951712028094,4.0,0.593,1.0,0.7968000000000001,3.0,0.6624000000000001,2.0,0.9154,4.0,0.9496039269667298,4.0,0.8056350829356964,3.0,0.5802074802074803,7.0,71.0
