Distance Metric,EEG_Eye_State_hr_mc (F1 Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (F1 Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (F1 Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (F1 Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (F1 Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (F1 Score),Wine_mr_mc (Rank),abalone_hr_lc (F1 Score),abalone_hr_lc (Rank),bupa_lr_lc (F1 Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (F1 Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (F1 Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (F1 Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (F1 Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (F1 Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (F1 Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (F1 Score),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (F1 Score),solar_flare_mr_mc (Rank),vehicle_lr_hc (F1 Score),vehicle_lr_hc (Rank),yeast_mr_lc (F1 Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
canberra,0.8359596637581272,12.0,0.9741176298106304,4.0,0.827929743826887,11.0,0.6504158012293145,11.0,0.6777670323159735,8.0,0.575122054405903,13.0,0.2148495041509775,13.0,0.6870576471197023,9.0,0.9305157373109504,9.0,0.5450310558134717,13.0,0.8459437342745298,8.0,0.7314553457231876,12.0,0.9350126980843554,8.0,0.8734323330908186,7.0,0.9575285556615596,13.0,0.9768486338425816,7.0,0.9525291817365934,12.0,0.5762991680601963,5.0,175.0
jensen_shannon,0.8686853217280508,13.0,,,0.8273814725742673,8.0,0.652906735603109,12.0,0.6872831865486442,10.0,0.5424404477071937,6.0,0.1850966306909012,9.0,0.700909688750379,11.0,0.9362870128777268,11.0,0.528521423030891,9.0,0.8391125052025836,7.0,0.7332893309560092,13.0,0.945605900114653,11.0,0.876421959199974,9.0,0.9507176803863852,12.0,0.9789313039338996,11.0,0.8522285069789725,5.0,0.5866821742256769,11.0,168.0
manhattan,0.8359565469612606,11.0,0.9747762647160112,7.0,0.814664857329513,5.0,0.6442697229613537,8.0,0.6899384190320721,12.0,0.5660730731435534,11.0,0.1980380484127755,11.0,0.6782400462000944,6.0,0.9311368449195384,10.0,0.5394986903467741,12.0,0.8540875670277179,9.0,0.7175312051389346,7.0,0.9444663435736111,10.0,0.8774233292876499,12.0,0.9469156962338948,10.0,0.9692310532129385,5.0,0.9453884713414612,11.0,0.584135396630429,9.0,166.0
braycurtis,0.8358262361877082,10.0,0.9742789527060512,5.0,0.8213198943498933,6.0,0.6444495635500459,9.0,0.693098390719762,13.0,0.5627154496277015,10.0,0.1982026791363897,12.0,0.6805366239074642,8.0,0.9285199399623976,7.0,0.5319760893571274,10.0,0.8552983567334864,12.0,0.7200276164670592,8.0,0.940721779877114,9.0,0.8756692700610846,8.0,0.9485122196228982,11.0,0.9646123162732498,4.0,0.9527460334259624,13.0,0.5845304688130827,10.0,165.0
total_variation,0.8233470781175006,9.0,0.974512824775788,6.0,0.8243404695898308,7.0,0.6357646778724588,7.0,0.6873251619366916,11.0,0.5486805491526769,7.0,0.1926302295066026,10.0,0.6800218061776104,7.0,0.9304349700457276,8.0,0.5321564347043515,11.0,0.8593307925901096,13.0,0.7139099665347937,6.0,0.9320206129508332,7.0,0.8768478917057418,10.0,0.9418678184775556,9.0,0.9718666374674788,6.0,0.90896557777353,7.0,0.5795659317579401,6.0,147.0
euclidean,0.8146370907946572,7.5,0.9754645125076348,8.5,0.8278405345740371,9.5,0.6114683775232308,3.5,0.6742885202376129,6.5,0.5597919292188789,8.5,0.1832906803264559,6.5,0.6777506094710202,4.5,0.9373826597198998,12.5,0.4847676630212885,4.5,0.8549777251167379,10.5,0.7205950830529109,9.5,0.9499968204414584,12.5,0.8187543467170325,4.5,0.93336977628277,5.5,0.9781926571729456,9.5,0.9453217522891812,9.5,0.596828025682753,12.5,146.0
minkowski,0.8146370907946572,7.5,0.9754645125076348,8.5,0.8278405345740371,9.5,0.6114683775232308,3.5,0.6742885202376129,6.5,0.5597919292188789,8.5,0.1832906803264559,6.5,0.6777506094710202,4.5,0.9373826597198998,12.5,0.4847676630212885,4.5,0.8549777251167379,10.5,0.7205950830529109,9.5,0.9499968204414584,12.5,0.8187543467170325,4.5,0.93336977628277,5.5,0.9781926571729456,9.5,0.9453217522891812,9.5,0.596828025682753,12.5,146.0
bhattacharyya,0.8092950013890661,6.0,,,0.8407976105258855,12.0,0.6275157650858398,5.0,0.6813954728510259,9.0,0.4711376595961805,4.0,0.1176888993597479,3.0,0.7131716743705881,12.0,0.9055777032623292,6.0,0.5206860280878379,7.0,0.8286979792508591,4.5,0.7287788790316893,11.0,0.9058439228045064,5.0,0.8769526864455809,11.0,0.9371095301548984,8.0,0.956893817292358,2.0,0.8553037796140327,6.0,0.583463607360441,8.0,119.5
cosine,0.7261763014089447,4.0,0.9690812576784732,3.0,0.8111406573515515,4.0,0.6006313421734151,2.0,0.6732907660949958,5.0,0.4905093773950365,5.0,0.1178855366578815,4.0,0.719877076729851,13.0,0.9000151078298699,5.0,0.4939473681434617,6.0,0.7672906331867885,2.0,0.7124532918814965,5.0,0.9107519802976156,6.0,0.8313836507778747,6.0,0.9265769885045948,3.0,0.961158800200885,3.0,0.9430119859931632,8.0,0.5549232582348581,4.0,88.0
hamming,0.6648124913669096,2.0,0.8648353668096551,1.0,0.8083433616966726,3.0,0.6726974931729685,13.0,0.6123184582257586,3.0,0.5672625488432947,12.0,0.0982887800793448,2.0,0.5789897538982649,2.0,0.8741209761893595,2.0,0.5235504150300156,8.0,0.5245281465674099,1.0,0.7114582343141351,4.0,0.8926765453234822,4.0,0.8812401291478142,13.0,0.9325368073326782,4.0,0.978151224507128,8.0,0.8090076314461889,4.0,0.4163695981400336,1.0,87.0
