Distance Metric,EEG_Eye_State_hr_mc (Precision),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Precision),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Precision),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Precision),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Precision),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Precision),Wine_mr_mc (Rank),abalone_hr_lc (Precision),abalone_hr_lc (Rank),bupa_lr_lc (Precision),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Precision),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Precision),contaceptive_mr_lc (Rank),ecoli_lr_lc (Precision),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Precision),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Precision),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Precision),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Precision),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Precision),solar_flare_mr_mc (Rank),vehicle_lr_hc (Precision),vehicle_lr_hc (Rank),yeast_mr_lc (Precision),yeast_mr_lc (Rank),FINAL BORDA SCORE
canberra,0.8361732921791724,11.0,0.975205434796136,5.0,0.8317161989909053,13.0,0.750621280089997,6.0,0.7030630371825268,7.0,0.59925091774993,13.0,0.2421505104558436,12.0,0.690998093928632,9.0,0.9306361334139112,7.0,0.5861425569715235,13.0,0.8710897003207257,10.0,0.7541319997566769,13.0,0.9371437214220296,9.0,0.9011078907732604,13.0,0.9672236419898804,13.0,0.9859876326062312,13.0,0.9567969616761912,12.0,0.5840624922729002,4.0,183.0
braycurtis,0.8363007592110459,12.0,0.9753444767022617,6.0,0.8251429676721231,8.0,0.7508011028618495,7.0,0.7187441293210202,13.0,0.5920608156294734,11.0,0.2412163139297875,11.0,0.6901295225808399,8.0,0.931529460828416,8.0,0.5677164442888372,10.0,0.8758354908193695,13.0,0.7456028730980571,10.0,0.9427583522657144,10.0,0.8971947483881781,10.0,0.9629468377341842,10.0,0.98565320140944,10.0,0.9579992621457996,13.0,0.5947586594201637,8.0,178.0
manhattan,0.8364127650652422,13.0,0.9757159349716624,7.0,0.8183909639059788,5.0,0.7530236763555161,8.0,0.7134585158557162,11.0,0.5952777395166461,12.0,0.2389343052194958,10.0,0.6865814579246631,5.0,0.9326097112593598,9.0,0.5750728803680416,11.0,0.8703088179507301,9.0,0.7455410471122547,9.0,0.9463287701188,11.0,0.8975193687006762,11.0,0.9643870761949864,11.0,0.9857587177170302,12.0,0.9527080079772674,10.0,0.593883422089678,7.0,171.0
bhattacharyya,0.6494940848265591,4.0,0.9770858787785291,13.0,0.827944427823029,10.0,0.7634119708590297,13.0,0.7143156225966891,12.0,0.5717285905842806,5.0,0.177615165997095,4.0,0.7161326566762273,11.0,0.9265246691502096,5.0,0.5813644920331381,12.0,0.8745839734031129,11.0,0.7533770289086046,12.0,0.8490407662446968,4.0,0.8932821373185093,8.0,0.9627509406709984,9.0,0.9856811604136286,11.0,0.9505972834819668,7.0,0.605045938856777,11.0,162.0
jensen_shannon,0.7050198369534371,6.0,0.9765777767134576,10.0,0.8242454173371334,7.0,0.7600976011845582,12.0,0.7070903272419243,9.0,0.587286385069121,10.0,0.2387658786198195,9.0,0.7171041379239806,12.0,0.9361027066423137,11.0,0.564873054162685,9.0,0.8565508223790814,5.0,0.7519193884059605,11.0,0.8821544851898544,6.0,0.8875219961317647,7.0,0.9649252281367928,12.0,0.9835776440608616,4.0,0.953196554245352,11.0,0.5987051137162234,9.0,160.0
total_variation,0.738532690306078,8.0,0.9765875493821076,11.0,0.8275676985337107,9.0,0.7570136839465406,10.0,0.7066242536692633,8.0,0.5821472407328167,7.0,0.254157339723859,13.0,0.6714211563631433,4.0,0.933699754847851,10.0,0.5519860435756551,7.0,0.8749287538488811,12.0,0.7408839353586133,5.0,0.8717149442652564,5.0,0.8935538920317689,9.0,0.959745165294969,8.0,0.985193163234828,7.0,0.9458625445393558,5.0,0.5921081046603028,6.0,144.0
euclidean,0.8154606139916568,9.0,0.976210780064444,8.0,0.8310882183256263,11.0,0.7364815337950389,3.0,0.6968126937337097,5.0,0.5848825015035706,8.0,0.2371992631585163,7.0,0.6870973544128247,6.0,0.9397838885851688,12.0,0.5198967328595776,4.0,0.868211381195699,7.0,0.7440588080009767,7.0,0.9515509039433564,12.0,0.8558433927990958,4.0,0.9541340320460634,5.0,0.9835254491895868,2.0,0.95102071216903,8.0,0.6082744783354668,12.0,130.0
minkowski,0.8154606139916568,9.0,0.976210780064444,8.0,0.8310882183256263,11.0,0.7364815337950389,3.0,0.6968126937337097,5.0,0.5848825015035706,8.0,0.2371992631585163,7.0,0.6870973544128247,6.0,0.9397838885851688,12.0,0.5198967328595776,4.0,0.868211381195699,7.0,0.7440588080009767,7.0,0.9515509039433564,12.0,0.8558433927990958,4.0,0.9541340320460634,5.0,0.9835254491895868,2.0,0.95102071216903,8.0,0.6082744783354668,12.0,130.0
cosine,0.7301518531088022,7.0,0.9709340417971812,3.0,0.8152657474341423,4.0,0.7599379703405146,11.0,0.7081824670002013,10.0,0.5726460429320432,6.0,0.1541977893799402,3.0,0.72556888620815,13.0,0.9277897865447065,6.0,0.5482449094568927,6.0,0.7961689832222818,2.0,0.7386148357194386,4.0,0.9140831138840536,8.0,0.864874285561792,6.0,0.9514613002774484,4.0,0.9855880404109556,8.0,0.9489706469054054,6.0,0.5868055378999875,5.0,112.0
kl_divergence,0.6492852830947266,3.0,0.9769251336096364,12.0,0.8241949759752165,6.0,0.7456058613306981,5.0,0.5690771898362634,1.0,0.5451005083168303,3.0,0.0604643239915108,1.0,0.700578902583304,10.0,0.922299621983868,3.0,0.4508076389351024,2.0,0.865374647626623,6.0,0.6450412968379318,1.0,0.8156590215146388,3.0,0.8128051853965497,2.0,0.9590448936910828,7.0,0.9849750842163728,5.0,0.826768102443164,3.0,0.6037172500208126,10.0,83.0
hamming,0.6655875597447045,5.0,0.8252369545874292,1.0,0.811931120235861,3.0,0.6954289791732902,1.0,0.6163624447539133,3.0,0.5638640683138179,4.0,0.1265738385780474,2.0,0.5923882039994572,2.0,0.8368998628257888,1.0,0.5574182822430667,8.0,0.5346818585087394,1.0,0.7427874601150447,6.0,0.8959578474737884,7.0,0.8995119491636148,12.0,0.9283742604033072,1.0,0.9851783426349474,6.0,0.8308822011674024,4.0,0.466680892423617,1.0,68.0
earth_movers,0.644797928758555,2.0,0.9729777083202776,4.0,0.7924040765546223,2.0,0.7545791820752514,9.0,0.6592703521515494,4.0,0.5292400773066097,2.0,0.2237024018263789,6.0,0.6195191223249253,3.0,0.9239074793244408,4.0,0.5143099997036789,3.0,0.8379654043259286,3.0,0.7269797392347588,3.0,0.4520935470899877,1.0,0.8330746486298043,3.0,0.9458536315003632,3.0,0.9856092127024206,9.0,0.7087182060733103,2.0,0.5227534850035018,3.0,66.0
chebyshev,0.534144481178939,1.0,0.9431331105935834,2.0,0.750319294314006,1.0,0.699861961403378,2.0,0.5984334894180326,2.0,0.5169536892317798,1.0,0.2217909561097494,5.0,0.5742005311793855,1.0,0.881075576680152,2.0,0.4070716177017974,1.0,0.8505353211649057,4.0,0.6989259953645233,2.0,0.4887344009459632,2.0,0.7899893223732576,1.0,0.9365711356796016,2.0,0.9827415950032744,1.0,0.6640334916748455,1.0,0.5132494232731213,2.0,33.0
