Distance Metric,EEG_Eye_State_hr_mc (Adjusted Rand Index),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Adjusted Rand Index),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Adjusted Rand Index),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Adjusted Rand Index),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Adjusted Rand Index),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Adjusted Rand Index),Wine_mr_mc (Rank),abalone_hr_lc (Adjusted Rand Index),abalone_hr_lc (Rank),bupa_lr_lc (Adjusted Rand Index),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Adjusted Rand Index),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Adjusted Rand Index),contaceptive_mr_lc (Rank),ecoli_lr_lc (Adjusted Rand Index),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Adjusted Rand Index),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Adjusted Rand Index),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Adjusted Rand Index),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Adjusted Rand Index),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Adjusted Rand Index),solar_flare_mr_mc (Rank),vehicle_lr_hc (Adjusted Rand Index),vehicle_lr_hc (Rank),yeast_mr_lc (Adjusted Rand Index),yeast_mr_lc (Rank),FINAL BORDA SCORE
kl_divergence,-0.0007713706922494,3.0,0.1057634835412214,10.0,,1.0,0.0027729501009395,10.0,-0.0010161282060995,6.0,0.0113963314323461,13.0,0.0385853537135205,6.0,0.0006658945569303,11.0,0.0277315737178051,13.0,0.0101793824951195,13.0,0.0299512780059346,3.0,0.0049688232847825,12.0,0.0080467786169808,13.0,0.0105673217431709,12.0,0.2705348666473162,9.0,-0.0042247511864689,7.0,0.0358183311412501,13.0,0.0110339047955938,3.0,158.0
canberra,-0.000171445638841,10.0,0.0258323879396722,4.0,-0.0010061512759301,8.0,0.0217779937754375,13.0,-4.0439736884968534e-05,10.0,0.009604577177432,11.0,0.0411265598873556,13.0,-7.962554906428535e-05,10.0,-0.0175875395520332,10.0,-0.0018073579849361,2.0,0.0211984421045296,2.0,0.00036605137192,8.0,1.8119253845843617e-05,9.0,-0.0001324710987999,6.0,0.6063202762261627,13.0,-0.0042498866034868,4.0,-0.0037074156548734,2.0,0.0144869276334731,13.0,148.0
euclidean,-0.0002505652315822,8.0,0.0628117751175671,7.0,0.0011871137356297,9.0,0.0002172875520879,8.0,-0.0004357517131004,8.0,0.0027321991239917,5.0,0.0389388539524971,11.0,-0.0047693689051833,7.0,,1.0,0.0044339839572241,11.0,0.0445683251115561,12.0,-0.0018937318782639,5.0,,1.0,-0.0002648113455383,3.0,0.2504883580302685,5.0,-0.0042247511864689,7.0,0.0088102748924775,8.0,0.0136640454226894,10.0,126.0
minkowski,-0.0002505652315822,8.0,0.0628117751175671,7.0,0.0011871137356297,9.0,0.0002172875520879,8.0,-0.0004357517131004,8.0,0.0027321991239917,5.0,0.0389388539524971,11.0,-0.0047693689051833,7.0,,1.0,0.0044339839572241,11.0,0.0445683251115561,12.0,-0.0018937318782639,5.0,,1.0,-0.0002648113455383,3.0,0.2504883580302685,5.0,-0.0042247511864689,7.0,0.0088102748924775,8.0,0.0136640454226894,10.0,126.0
bhattacharyya,-0.0007713706922494,3.0,0.1057634835412214,10.0,,1.0,-0.0011363221435661,6.0,-0.0011255964054578,4.0,0.0091280659516377,10.0,0.0385177304337768,3.0,0.0017440716956375,12.0,,1.0,0.0041813284274858,8.0,0.0299512780059346,3.0,0.0066025100021777,13.0,0.0002978505149783,12.0,0.0105673217431709,12.0,0.2684110951198147,7.0,-0.0042247511864689,7.0,0.0066586052182203,4.0,0.0110339047955938,3.0,119.0
manhattan,-0.0001273460703085,11.0,0.0613165497558623,6.0,0.0052722587087213,13.0,-0.0035105976122613,4.0,0.0002030801151036,11.0,0.0003848236799782,2.0,0.0387771699131083,9.0,-0.0063290271737477,5.0,,1.0,-0.0011397949834323,3.0,0.0433830700620861,11.0,0.0026646491465985,10.0,,1.0,-0.0002648113455383,3.0,0.2464992177110448,4.0,-0.0042247511864689,7.0,0.0088102748924775,8.0,0.0130882442630148,9.0,118.0
total_variation,-0.0012977473926713,1.0,0.1426417912362195,13.0,0.0038232539557896,12.0,-0.0036239471494961,3.0,0.0002804126661284,12.0,0.0027107474584199,4.0,0.0386787993930224,8.0,-0.0104618156164558,2.0,,1.0,0.0044044267861149,10.0,0.0403197758163501,8.0,-0.0022742658367747,4.0,,1.0,0.0048812738881551,10.0,0.2785106712285866,10.0,-0.0042498866034868,4.0,0.0088102748924775,8.0,0.0128312512796876,7.0,118.0
earth_movers,-0.0009825167588341,2.0,0.0741528676658721,9.0,,1.0,-0.0252530967499165,2.0,-0.0028498624900738,2.0,0.0033395303162578,7.0,4.344477755665816e-05,2.0,-0.0075397033480076,3.0,-0.0033049146171588,12.0,-0.0003078814717806,5.0,0.0352310708377359,7.0,-0.0011419924913993,7.0,1.8504951537954774e-05,10.0,0.0032835681814335,8.0,0.2200220558118679,2.0,0.0647090979587807,13.0,0.0098137661977135,12.0,0.0141342318080395,12.0,116.0
jensen_shannon,-0.0007713706922494,3.0,0.1057634835412214,10.0,,1.0,-0.0011363221435661,6.0,-0.0010804905106501,5.0,0.0096459983927975,12.0,0.0385177304337768,3.0,0.0017440716956375,12.0,,1.0,0.0038781424417954,6.0,0.0299512780059346,3.0,0.0036850912714126,11.0,0.0002974122293371,11.0,0.0105138382884292,11.0,0.2684110951198147,7.0,-0.0042247511864689,7.0,0.0066586052182203,4.0,0.0110339047955938,3.0,116.0
braycurtis,-6.868308155456283e-05,12.0,0.0131372376029451,2.0,-0.0019247915344283,7.0,0.0071334078655788,12.0,-0.0036548935320567,1.0,0.0052535326318434,9.0,0.0386047867005575,7.0,-0.005242286734081,6.0,-0.0064791784229535,11.0,-0.0068687127408036,1.0,0.0328004927073511,6.0,0.0021112275548723,9.0,,1.0,,1.0,0.3264657852884434,11.0,,1.0,0.0014585081114531,3.0,0.013068536774913,8.0,108.0
chebyshev,-0.0003238579867724,6.0,0.0484278618520066,5.0,,1.0,0.0071110693256777,11.0,-0.0008356286171585,7.0,0.0034153315464264,8.0,0.0388179278485585,10.0,-0.0064807701360091,4.0,,1.0,0.0042608358399491,9.0,0.0420802892838254,10.0,-0.0080385653578356,2.0,,1.0,,1.0,0.2305909699558664,3.0,,1.0,0.0077293602423063,6.0,0.0125083632627498,6.0,92.0
cosine,-0.0003187551437501,7.0,0.0178921612854143,3.0,-0.0027559337822621,6.0,-0.0019568346001475,5.0,-0.0013525732684796,3.0,0.0018166535934751,3.0,0.0385357250987968,5.0,-0.0029235255352095,9.0,,1.0,0.0041610980156964,7.0,0.0412927691041193,9.0,-0.0039673391079316,3.0,,1.0,-0.0001324710987999,6.0,0.3575856662902024,12.0,,1.0,0.0077717453897799,7.0,0.0105342048630773,2.0,90.0
hamming,-4.395013429234934e-05,13.0,,1.0,0.0011871137356297,9.0,,1.0,0.0281938920062508,13.0,,1.0,,1.0,,1.0,,1.0,-0.0009136925043803,4.0,,1.0,,1.0,,1.0,0.0038335800077335,9.0,,1.0,-0.0042498866034868,4.0,,1.0,,1.0,64.0
