Distance Metric,EEG_Eye_State_hr_mc (Calinski-Harabasz Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Calinski-Harabasz Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Calinski-Harabasz Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Calinski-Harabasz Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Calinski-Harabasz Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Calinski-Harabasz Score),Wine_mr_mc (Rank),abalone_hr_lc (Calinski-Harabasz Score),abalone_hr_lc (Rank),bupa_lr_lc (Calinski-Harabasz Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Calinski-Harabasz Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Calinski-Harabasz Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (Calinski-Harabasz Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Calinski-Harabasz Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Calinski-Harabasz Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Calinski-Harabasz Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Calinski-Harabasz Score),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Calinski-Harabasz Score),solar_flare_mr_mc (Rank),vehicle_lr_hc (Calinski-Harabasz Score),vehicle_lr_hc (Rank),yeast_mr_lc (Calinski-Harabasz Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
earth_movers,187.1783011927819,5.0,294.46396259281363,12.0,,1.0,33.696165515829925,2.0,134.62384139955927,7.0,163.38151867894956,13.0,7.798351332007171,2.0,142.37138623466583,13.0,3.021519119777115,13.0,11.254951443145234,3.0,39.65259494806706,13.0,1.2758924412876482,3.0,116.47179051444432,11.0,94.28934234281176,10.0,144.88566531221724,8.0,45.482124237367955,4.0,13.319465479719913,6.0,193.65161882006137,13.0,139.0
total_variation,185.9426266794346,4.0,475.3962350191365,13.0,9.050237627292374,13.0,232.82431955116468,3.0,149.97899537470397,8.0,88.38113997929823,12.0,2019.3317982627188,6.0,135.20000681814562,12.0,,1.0,176.14470446861458,9.0,33.55957127534333,12.0,0.980597870977624,2.0,,1.0,89.67230153621836,9.0,150.15796572768394,12.0,171.4727857212205,5.0,10.164921422059075,5.0,88.50603415698079,12.0,139.0
manhattan,965.0579539144312,11.0,166.42209285625475,7.0,4.533851183085792,12.0,573.1089832958464,9.0,363.8143493972621,13.0,39.953682073025746,6.0,9630.478934370143,13.0,98.77575097936716,7.0,,1.0,7.428990750734259,2.0,32.80906056960233,11.0,2.059643746589596,5.0,,1.0,2.950883765171285,5.0,112.55248574403062,3.0,386.0560831494644,11.0,19.03696898465,9.0,74.28581900867397,11.0,137.0
euclidean,523.4906612585484,9.0,138.8970878660206,5.0,1.9106848975249993,8.0,584.3555022456067,11.0,360.5346099961416,11.0,43.66210577942789,8.0,9480.412362641271,8.0,101.45447231503567,8.0,,1.0,243.59174841458244,11.0,31.272650761126197,9.0,3.360987395381705,6.0,,1.0,2.950883765171285,5.0,125.25671697350852,5.0,386.0560831494644,11.0,19.03696898465,9.0,71.41871752282971,6.0,132.0
minkowski,523.4906612585484,9.0,138.8970878660206,5.0,1.9106848975249993,8.0,584.3555022456067,11.0,360.5346099961416,11.0,43.66210577942789,8.0,9480.412362641271,8.0,101.45447231503567,8.0,,1.0,243.59174841458244,11.0,31.272650761126197,9.0,3.360987395381705,6.0,,1.0,2.950883765171285,5.0,125.25671697350852,5.0,386.0560831494644,11.0,19.03696898465,9.0,71.41871752282971,6.0,132.0
kl_divergence,98.3230692495608,1.0,188.3912717147421,8.0,,1.0,276.1445017746217,6.0,94.30918197789698,4.0,42.63552681971272,7.0,1990.242532017583,3.0,62.25953502503896,6.0,1.2622667373824037,10.0,90.94550800968584,6.0,8.172107455120523,2.0,23.224158043211684,12.0,54.46775588245739,9.0,235.63861101609444,11.0,145.6627260889078,11.0,339.4877239825886,8.0,38.843155597935315,13.0,73.23856700875515,8.0,126.0
canberra,433.4436972939196,8.0,196.3873349412145,11.0,1.45343270696159,7.0,616.4023293016768,13.0,14.022940706275874,1.0,14.65512575258499,2.0,5891.881847468186,7.0,3.188230821329818,2.0,2.457128063413013,12.0,14.144006237281646,4.0,21.739393073467387,6.0,2.011541145491968,4.0,65.19707733956663,10.0,2.9042493936818787,4.0,163.09567979467647,13.0,194.3051073713804,6.0,23.433923483450055,12.0,48.44894666516628,2.0,124.0
jensen_shannon,98.3230692495608,1.0,188.3912717147421,8.0,,1.0,275.8930948333497,4.0,106.47718737534169,6.0,78.86897542679932,11.0,1992.3286845187224,4.0,114.49022205862684,10.0,,1.0,172.0549654108651,8.0,8.172107455120523,2.0,6.055762622100856,8.0,185.37200380616105,13.0,236.75592149281096,13.0,145.49824839079562,9.0,339.4877239825886,8.0,4.523903044057869,2.0,73.23856700875515,8.0,117.0
bhattacharyya,98.3230692495608,1.0,188.3912717147421,8.0,,1.0,275.8930948333497,4.0,98.8534664838658,5.0,72.24823336118641,10.0,1992.3286845187224,4.0,114.49022205862684,10.0,,1.0,132.37916578449108,7.0,8.172107455120523,2.0,6.7422753870748275,9.0,124.11735320722104,12.0,235.63861101609444,11.0,145.49824839079562,9.0,339.4877239825886,8.0,4.523903044057869,2.0,73.23856700875515,8.0,112.0
braycurtis,2864.58096552815,12.0,38.191471564298624,2.0,2.061474490598208,10.0,553.3249190884901,7.0,51.11443099170986,3.0,26.48730051828428,4.0,9588.787918215516,12.0,14.13767976101444,3.0,1.5567096833241771,11.0,24.442979205718373,5.0,20.066214442083584,5.0,8.99289310935485,10.0,,1.0,,1.0,127.56148084555954,7.0,,1.0,18.005305927507617,8.0,62.865572381661366,5.0,107.0
