Distance Metric,EEG_Eye_State_hr_mc (Davies-Bouldin Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Davies-Bouldin Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Davies-Bouldin Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Davies-Bouldin Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Davies-Bouldin Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Davies-Bouldin Score),Wine_mr_mc (Rank),abalone_hr_lc (Davies-Bouldin Score),abalone_hr_lc (Rank),bupa_lr_lc (Davies-Bouldin Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Davies-Bouldin Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Davies-Bouldin Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (Davies-Bouldin Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Davies-Bouldin Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Davies-Bouldin Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Davies-Bouldin Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Davies-Bouldin Score),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Davies-Bouldin Score),solar_flare_mr_mc (Rank),vehicle_lr_hc (Davies-Bouldin Score),vehicle_lr_hc (Rank),yeast_mr_lc (Davies-Bouldin Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
earth_movers,3.087697048228757,2.0,1.6484053328810304,5.0,,1.0,1.106663400780933,13.0,0.8241352941357348,13.0,0.7734477503367267,13.0,0.3389872757408273,13.0,0.9841534319339784,13.0,0.5481361398710648,13.0,0.2813507021771464,13.0,0.9782564164512022,13.0,0.8243719542921416,12.0,0.2892846179124028,13.0,1.1657354206318762,10.0,1.7849804612794091,4.0,2.7085336452723467,4.0,1.2649411015316312,9.0,1.2990761603817569,13.0,177.0
total_variation,3.2018102368011085,1.0,1.2288136880923897,13.0,0.8995322368706868,9.0,1.5936974565859734,11.0,1.362248094796032,12.0,1.595489218397158,12.0,1.0982362937912042,12.0,5.463955085271931,2.0,,1.0,1.9187311985488595,5.0,1.2739045146433006,12.0,2.1642654762337923,10.0,,1.0,1.1047510955321915,11.0,1.610355448056304,10.0,1.2756206426985308,11.0,1.2463294614012663,10.0,1.5178822701378358,12.0,155.0
canberra,2.9672016801313115,3.0,2.115740149876231,3.0,0.8178457102416411,11.0,1.557483730678177,12.0,2.206857507183066,3.0,3.2966168190590213,2.0,1.215421532020371,10.0,4.013930253471256,3.0,5.664377516729712,10.0,2.071266604047233,4.0,2.5877478505594538,5.0,2.367717059010973,8.0,0.6118202202173905,11.0,0.5725230107985235,13.0,1.4104585640287994,11.0,1.2558035977365751,12.0,1.51378642172039,6.0,2.462083948006246,8.0,135.0
manhattan,1.9891300813572823,8.0,1.906684459567234,4.0,1.6714912373711508,6.0,1.6937411963598283,7.0,1.5132077415412053,11.0,2.0819286767457155,9.0,1.193846622559116,11.0,1.534174645708027,10.0,,1.0,2.1802712298935343,1.0,1.6477442710237618,11.0,0.6850749715871398,13.0,,1.0,1.8650668165037765,4.0,1.243838440490932,12.0,1.5222998068945597,8.0,1.026828000123615,11.0,2.673982346512136,4.0,132.0
euclidean,2.6292696191143548,6.0,1.435374446425137,8.0,0.7133264582591728,12.0,1.6868013200973957,8.0,1.593144557097918,9.0,2.084003974401071,7.0,1.4299034116268212,6.0,1.5516970792008256,8.0,,1.0,1.539346746035773,10.0,1.750674673436289,9.0,2.647623192445953,5.0,,1.0,1.8650668165037765,4.0,1.6355860098946975,8.0,1.5222998068945597,8.0,1.026828000123615,11.0,2.7638002789905243,2.0,123.0
minkowski,2.6292696191143548,6.0,1.435374446425137,8.0,0.7133264582591728,12.0,1.6868013200973957,8.0,1.593144557097918,9.0,2.084003974401071,7.0,1.4299034116268212,6.0,1.5516970792008256,8.0,,1.0,1.539346746035773,10.0,1.750674673436289,9.0,2.647623192445953,5.0,,1.0,1.8650668165037765,4.0,1.6355860098946975,8.0,1.5222998068945597,8.0,1.026828000123615,11.0,2.7638002789905243,2.0,123.0
braycurtis,1.968905985735799,9.0,2.174142773868969,2.0,1.6398268971408132,8.0,1.724887812358194,5.0,1.8504983756076416,5.0,2.221031622560457,5.0,1.4269022668991689,9.0,2.6577383931298892,5.0,1.681020301585061,12.0,1.8477715780581712,7.0,2.535353817440059,6.0,2.9463976545317543,2.0,,1.0,,1.0,1.1484757994761172,13.0,,1.0,1.9312917892227897,5.0,2.0069773538788587,10.0,106.0
cosine,2.745226207924681,4.0,1.5540662487466812,7.0,1.6514831680735755,7.0,1.7248204362776658,6.0,1.6351662014002797,8.0,2.1838854092231275,6.0,1.6052974407563472,5.0,1.773829183019766,7.0,,1.0,1.6628424546882994,8.0,2.0852850129530793,7.0,2.7124356605686226,4.0,,1.0,0.77053470885133,12.0,2.650490342974383,2.0,,1.0,1.4333166649376796,7.0,1.762156539636949,11.0,104.0
jensen_shannon,1.8367772350415137,10.0,1.3527545135184549,10.0,,1.0,1.9268090143024144,2.0,1.7758380080247351,6.0,1.6591184734189666,11.0,2.3555772617487,3.0,1.1723944769256782,11.0,,1.0,2.1307003531270854,2.0,4.010335456405081,2.0,2.5800419596731183,7.0,0.4520896062892898,12.0,1.4320350348117457,7.0,1.686840537284139,5.0,1.612652256990741,5.0,2.690937810795108,3.0,2.61444181897624,5.0,103.0
kl_divergence,1.8367772350415137,10.0,1.3527545135184549,10.0,,1.0,1.916146141818888,4.0,2.3858979085103984,2.0,2.3021312838748305,4.0,2.5882583649339113,2.0,1.8299087652249244,6.0,2.8892965643742636,11.0,2.081551070842911,3.0,4.010335456405081,2.0,1.8011457389241532,11.0,2.5491051299434,9.0,1.322759282905242,8.0,1.6841228408900366,7.0,1.612652256990741,5.0,3.235197838376395,2.0,2.61444181897624,5.0,102.0
