Distance Metric,EEG_Eye_State_hr_mc (Normalized Mutual Info),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Normalized Mutual Info),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Normalized Mutual Info),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Normalized Mutual Info),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Normalized Mutual Info),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Normalized Mutual Info),Wine_mr_mc (Rank),abalone_hr_lc (Normalized Mutual Info),abalone_hr_lc (Rank),bupa_lr_lc (Normalized Mutual Info),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Normalized Mutual Info),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Normalized Mutual Info),contaceptive_mr_lc (Rank),ecoli_lr_lc (Normalized Mutual Info),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Normalized Mutual Info),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Normalized Mutual Info),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Normalized Mutual Info),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Normalized Mutual Info),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Normalized Mutual Info),solar_flare_mr_mc (Rank),vehicle_lr_hc (Normalized Mutual Info),vehicle_lr_hc (Rank),yeast_mr_lc (Normalized Mutual Info),yeast_mr_lc (Rank),FINAL BORDA SCORE
total_variation,0.012330425880764,13.0,0.0548344235006757,13.0,0.0208614778877605,12.0,0.0377757113957527,12.0,0.0163126572650872,8.0,0.0070648412068138,9.0,0.0907276774068584,4.0,0.0044874525694475,13.0,,1.0,0.0190309370457772,8.0,0.1090263968151873,9.0,0.0022844014406912,11.0,,1.0,0.0033959376409318,10.0,0.1639052886124582,10.0,0.001458790347108,10.0,0.0155546018035105,7.0,0.0389984310568364,9.0,160.0
earth_movers,0.007694520025649,12.0,0.0253668332379297,6.0,,1.0,0.0340416022278563,8.0,0.0191055456222627,12.0,0.0111163482193464,13.0,0.0005272691999055,2.0,0.0028231120561513,11.0,0.0010830780297332,10.0,0.0010779307947927,1.0,0.1025523380199115,8.0,0.0011535417203592,9.0,0.004025633024401,10.0,0.0021132179056269,9.0,0.1396671447604975,2.0,0.0571069283573528,13.0,0.0158110919482425,11.0,0.0389259451311234,8.0,146.0
kl_divergence,0.0057352478563574,9.0,0.0444305766204132,10.0,,1.0,0.0291730433826225,4.0,0.0070714838073158,2.0,0.0082195748214752,11.0,0.0911032197684815,8.0,0.0001229820195525,2.0,0.0083948380239498,13.0,0.0384018584782855,13.0,0.0813121228862185,3.0,0.0005844601412546,7.0,0.184546439195259,13.0,0.0156512800567784,11.0,0.1612916722899527,9.0,0.0014491200612157,4.0,0.0629313472264673,13.0,0.0327574381075468,2.0,135.0
manhattan,0.001383284869373,8.0,0.0259916485013062,7.0,0.0273467769812029,13.0,0.0376992774426174,11.0,0.0185490766893589,11.0,0.0064808823878782,8.0,0.0909414308195382,7.0,0.0010374920687934,9.0,,1.0,0.0022333518350628,3.0,0.1127267572351355,10.0,0.0038952700563815,12.0,,1.0,0.0001261334605132,5.0,0.1413813250710787,3.0,0.0014491200612157,4.0,0.0155546018035105,7.0,0.0334993442258392,5.0,125.0
cosine,0.0004352088392009,4.0,0.0067800660601966,3.0,0.016422758908304,11.0,0.0392767165024261,13.0,0.0100225300647614,4.0,0.0072521875966022,10.0,0.0907023765318542,3.0,0.0004767851601436,7.0,,1.0,0.0208076164177547,12.0,0.095544778488261,6.0,0.0003066275275006,4.0,,1.0,6.31709710784917e-05,3.0,0.2120150588916438,12.0,,1.0,0.0174255918091021,12.0,0.0557286958886797,12.0,119.0
bhattacharyya,0.0057352478563574,9.0,0.0444305766204132,10.0,,1.0,0.0348523577486913,9.0,0.0081650723337948,3.0,0.0055574488192522,6.0,0.0911299143615598,9.0,0.0003029333061541,3.0,,1.0,0.0198393767184817,11.0,0.0813121228862185,3.0,0.0015320224519636,10.0,0.019440213785125,12.0,0.0156512800567784,11.0,0.1603846794608381,7.0,0.0014491200612157,4.0,0.0071993845972238,4.0,0.0327574381075468,2.0,115.0
canberra,0.0001424168904114,3.0,0.0082856686984181,4.0,0.005704778909308,6.0,0.013429450673626,2.0,1.6044164001278018e-07,1.0,0.0085942395883071,12.0,0.1026176503444235,13.0,0.0009881493531059,8.0,0.0012739339422499,11.0,0.0019442230121231,2.0,0.0758639466366226,2.0,2.4724308299543784e-05,2.0,0.0039261544889395,9.0,6.31709710784917e-05,3.0,0.4217295722780964,13.0,0.001458790347108,10.0,0.0018488405436897,2.0,0.0398255260453266,11.0,114.0
jensen_shannon,0.0057352478563574,9.0,0.0444305766204132,10.0,,1.0,0.0348523577486913,9.0,0.0101870404698359,5.0,0.0061167129925404,7.0,0.0911299143615598,9.0,0.0003029333061541,3.0,,1.0,0.0183416031595426,6.0,0.0813121228862185,3.0,0.0006844877834016,8.0,0.0188414093832793,11.0,0.01568487942133,13.0,0.1603846794608381,7.0,0.0014491200612157,4.0,0.0071993845972238,4.0,0.0327574381075468,2.0,112.0
euclidean,0.0006578406269907,5.0,0.0261762352386809,8.0,0.0072434052870566,7.0,0.033187652491161,6.0,0.0166208967667434,9.0,0.0038568685219868,3.0,0.0913700629238172,11.0,0.0004142790995485,5.0,,1.0,0.0190869615126873,9.0,0.1147001215246438,12.0,0.0004024592061289,5.0,,1.0,0.0001261334605132,5.0,0.1490267443467388,5.0,0.0014491200612157,4.0,0.0155546018035105,7.0,0.0342630744296858,6.0,109.0
minkowski,0.0006578406269907,5.0,0.0261762352386809,8.0,0.0072434052870566,7.0,0.033187652491161,6.0,0.0166208967667434,9.0,0.0038568685219868,3.0,0.0913700629238172,11.0,0.0004142790995485,5.0,,1.0,0.0190869615126873,9.0,0.1147001215246438,12.0,0.0004024592061289,5.0,,1.0,0.0001261334605132,5.0,0.1490267443467388,5.0,0.0014491200612157,4.0,0.0155546018035105,7.0,0.0342630744296858,6.0,109.0
