Distance Metric,EEG_Eye_State_hr_mc (Silhouette Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Silhouette Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Silhouette Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Silhouette Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Silhouette Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Silhouette Score),Wine_mr_mc (Rank),abalone_hr_lc (Silhouette Score),abalone_hr_lc (Rank),bupa_lr_lc (Silhouette Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Silhouette Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Silhouette Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (Silhouette Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Silhouette Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Silhouette Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Silhouette Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Silhouette Score),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Silhouette Score),solar_flare_mr_mc (Rank),vehicle_lr_hc (Silhouette Score),vehicle_lr_hc (Rank),yeast_mr_lc (Silhouette Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
kl_divergence,0.3671057150714517,4.0,0.5746520693898581,12.0,,1.0,0.7877110429793308,13.0,0.8159176891416174,13.0,0.5966670349647234,12.0,0.9647239179182574,13.0,0.6386520545611026,13.0,0.3835817187299912,12.0,0.784576316855353,13.0,0.8395812830116297,13.0,0.3800870977100812,12.0,0.4306973116120869,12.0,0.6217093228533133,13.0,0.4563137932296315,10.0,0.3507108069291227,12.0,0.4498248750010297,12.0,0.9084375680322548,13.0,203.0
bhattacharyya,0.3692672050724351,5.0,0.5744420836765627,11.0,,1.0,0.7162283797068322,11.0,0.5826341100429849,10.0,0.5498565566105672,11.0,0.8858776707875587,11.0,0.6326154090080371,12.0,,1.0,0.4867927961791446,10.0,0.6873419396640319,12.0,0.345001405803937,10.0,0.3454755181811548,9.0,0.569816271656742,11.0,0.4726316328976616,12.0,0.3582565200572226,13.0,0.4857564258451694,13.0,0.8071183897689707,12.0,175.0
cosine,0.7671744652023004,11.0,0.5504375979051016,10.0,0.3157278765838746,13.0,0.7191680556432269,12.0,0.6243374327573447,12.0,0.4985290350115441,10.0,0.9108708501970204,12.0,0.5662742820443889,11.0,,1.0,0.4940528473637262,11.0,0.6357324594778484,11.0,0.3932903584127847,13.0,,1.0,0.2605344035643036,4.0,0.2149462126483865,2.0,,1.0,0.3508744474071251,9.0,0.6976320035414412,11.0,155.0
earth_movers,0.3478297041643679,3.0,0.6332400686648566,13.0,,1.0,0.3692684113808244,3.0,0.398280266101783,7.0,0.600434193760274,13.0,0.5703540413908357,4.0,0.5440753456694113,10.0,0.512304761707078,13.0,0.622938468005552,12.0,0.5265537802965716,10.0,0.367564536043764,11.0,0.5984437994041854,13.0,0.6053245439957234,12.0,0.4875674967717969,13.0,0.3150698851753135,10.0,0.1861539184883801,2.0,0.4956089904008586,4.0,154.0
manhattan,0.480124210499627,6.0,0.5007187694120022,7.0,0.2494783163739853,10.0,0.541559258946394,9.0,0.2961085612537377,5.0,0.3389252233720565,3.0,0.6881477709194498,7.0,0.4223521178255309,9.0,,1.0,0.3745078950643741,7.0,0.399113674207607,4.0,0.2937732914907561,8.0,,1.0,0.4977733279063439,9.0,0.3607362334758373,6.0,0.3414107979272669,11.0,0.2897730967199569,4.0,0.5001418871275534,5.0,112.0
chebyshev,0.5969073519627552,10.0,0.5466418200845371,9.0,,1.0,0.5469800141906875,10.0,0.5974033635187043,11.0,0.3911759641787918,9.0,0.7524901500376875,10.0,0.1848378290825715,3.0,,1.0,0.3938855034070807,8.0,0.4845799730034117,9.0,0.0937597107500246,2.0,,1.0,,1.0,0.2997211973102116,4.0,,1.0,0.3562350958763133,10.0,0.5913522508803243,10.0,110.0
canberra,0.8631496763158815,12.0,0.466012626287878,3.0,0.1785769093161536,9.0,0.349879592921803,2.0,0.2904899260451922,4.0,0.3175212595664327,2.0,0.5333775074903621,3.0,0.1733030373133737,2.0,0.1620692198233448,10.0,0.4076385296194361,9.0,0.3983384876754783,3.0,0.2610438561899644,7.0,0.3696469600516286,10.0,0.2609748710047955,5.0,0.262986664110567,3.0,0.3104951492247195,9.0,0.3731366623117667,11.0,0.4191915269123868,3.0,107.0
euclidean,0.5539042298598299,8.0,0.4688305020901965,5.0,0.1696704028849658,7.0,0.539006043047632,7.0,0.4554859525797864,8.0,0.3429678585116197,5.0,0.7367671509506973,8.0,0.4172514955317494,6.0,,1.0,0.322452828849142,5.0,0.415196056445228,6.0,0.2079357095051262,5.0,,1.0,0.3266235650377584,6.0,0.3693969930645074,8.0,0.2321491136946696,5.0,0.3227761534744919,7.0,0.5294504136928964,7.0,105.0
minkowski,0.5539042298598299,8.0,0.4688305020901965,5.0,0.1696704028849658,7.0,0.539006043047632,7.0,0.4554859525797864,8.0,0.3429678585116197,5.0,0.7367671509506973,8.0,0.4172514955317494,6.0,,1.0,0.322452828849142,5.0,0.415196056445228,6.0,0.2079357095051262,5.0,,1.0,0.3266235650377584,6.0,0.3693969930645074,8.0,0.2321491136946696,5.0,0.3227761534744919,7.0,0.5294504136928964,7.0,105.0
jensen_shannon,0.3294730793964044,2.0,0.466685601230028,4.0,,1.0,0.4990405551602894,5.0,0.3594985563897125,6.0,0.3492184667259341,7.0,0.6626198710446729,6.0,0.4222231526614237,8.0,,1.0,0.3159148940337616,4.0,0.4250209823191215,8.0,0.1857508126765674,4.0,0.4296723336050733,11.0,0.3516239166370228,8.0,0.3610975011616232,7.0,0.2309401634270939,4.0,0.2920851750167512,5.0,0.5475909540013028,9.0,100.0
