Distance Metric,EEG_Eye_State_hr_mc (Calinski-Harabasz Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Calinski-Harabasz Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Calinski-Harabasz Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Calinski-Harabasz Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Calinski-Harabasz Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Calinski-Harabasz Score),Wine_mr_mc (Rank),abalone_hr_lc (Calinski-Harabasz Score),abalone_hr_lc (Rank),bupa_lr_lc (Calinski-Harabasz Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Calinski-Harabasz Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Calinski-Harabasz Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (Calinski-Harabasz Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Calinski-Harabasz Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Calinski-Harabasz Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Calinski-Harabasz Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Calinski-Harabasz Score),page_blocks_classification_hr_mc (Rank),vehicle_lr_hc (Calinski-Harabasz Score),vehicle_lr_hc (Rank),yeast_mr_lc (Calinski-Harabasz Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
total_variation,549.4225957085166,7.0,4229.026398470459,7.0,343.55749978042496,13.0,143.28062026986868,12.0,704.6653213275173,9.0,296.62343661967435,13.0,6791.201731979014,7.0,305.0033152890904,13.0,9.912937601067988,3.0,347.0922425385784,12.0,187.95050804003785,13.0,794.4692356707853,13.0,645.821001640684,9.0,681.3627258003662,7.0,1967.6211901014165,9.0,1782.754310629521,13.0,252.39354670719115,13.0,173.0
earth_movers,519.1198265396263,6.0,876.195837244527,2.0,279.80683061450225,12.0,83.99827800487958,10.0,885.8382567369991,13.0,270.4770120506186,12.0,1675.2022526296064,3.0,243.2975630991065,12.0,191.49554293376264,13.0,401.67754643559147,13.0,174.55588373481015,12.0,652.8944201124402,12.0,584.0107207475345,7.0,1309.002167104077,10.0,2451.1971745478186,10.0,1638.2291360484091,12.0,229.23154338029624,12.0,171.0
cosine,774.0634717723665,11.0,14403.844116430984,13.0,66.71020371935566,6.0,1334.467466263471,13.0,885.5257172531191,10.0,220.73238400909236,11.0,9266.349801109523,13.0,64.78530423158767,7.0,19.596239391433684,8.0,254.07961320729427,11.0,47.28705374668631,2.0,129.56454029942591,9.0,901.159383662954,11.0,1109.1540604389709,8.0,1543.987636206448,6.0,485.187392829442,5.0,104.29546646871025,3.0,147.0
euclidean,736.3095113689235,9.0,14246.536752846154,11.0,71.28986959286735,8.0,50.68775400231171,5.0,885.5257172531191,10.0,183.554553857866,9.0,6997.783992774089,8.0,77.55471418626166,8.0,20.499029393658436,9.0,223.972954765667,8.0,87.81459465187234,7.0,69.467204093055,4.0,962.4904986323468,12.0,1503.3395459173566,11.0,2488.1009170397765,11.0,517.897216589675,7.0,159.58389659311075,7.0,144.0
minkowski,736.3095113689235,9.0,14246.536752846154,11.0,71.28986959286735,8.0,50.68775400231171,5.0,885.5257172531191,10.0,183.554553857866,9.0,6997.783992774089,8.0,77.55471418626166,8.0,20.499029393658436,9.0,223.972954765667,8.0,87.81459465187234,7.0,69.467204093055,4.0,962.4904986323468,12.0,1503.3395459173566,11.0,2488.1009170397765,11.0,517.897216589675,7.0,159.58389659311075,7.0,144.0
bhattacharyya,314.2907003812607,5.0,3198.976396223948,6.0,78.57717807104096,10.0,30.9639569449939,3.0,189.97449451530773,5.0,139.4660781866895,5.0,6227.533143600732,5.0,213.26373538187295,11.0,19.508015202682436,7.0,216.2659118896898,6.0,167.65464067613323,11.0,392.1963464330235,11.0,475.05918528985535,5.0,325.1316055488968,4.0,1337.46428207953,5.0,1237.203083817051,10.0,212.59442449828808,10.0,119.0
manhattan,838.6628917797384,13.0,13478.722445296731,10.0,69.63505573796823,7.0,16.793263684531322,2.0,664.2190905633221,8.0,150.0203337623282,7.0,9099.391104193515,12.0,20.60524408649494,2.0,18.74799627838158,6.0,216.61727799094496,7.0,76.89045259932362,5.0,63.638385938171275,3.0,758.5787978622434,10.0,1157.8818358798217,9.0,1898.193674524834,8.0,475.5633823538536,4.0,131.41931024219332,5.0,118.0
jensen_shannon,273.7133132971397,3.0,1951.6102642387616,3.0,260.1087607895391,11.0,77.17934457763556,9.0,175.57351120048477,4.0,142.4630554006982,6.0,3685.069524957482,4.0,188.62595455493064,10.0,20.947828570505827,11.0,121.92155551956247,3.0,167.06970062592285,10.0,249.4083319649384,10.0,463.2142743393442,2.0,382.4741740739898,5.0,1287.763921894762,4.0,1522.7297275452895,11.0,197.82916908528753,9.0,115.0
braycurtis,835.6198990936575,12.0,2278.4879384636715,4.0,8.443858724336991,1.0,54.87165884271861,7.0,652.4732495895827,7.0,172.332126374051,8.0,8256.701523560649,10.0,39.98047141309515,3.0,17.18569350432087,5.0,226.0528813209648,10.0,81.26616746116242,6.0,83.14002004446947,6.0,628.5330308321378,8.0,416.0036384906012,6.0,1806.3915743880705,7.0,504.34242508277725,6.0,137.52410071055382,6.0,112.0
kl_divergence,308.8309764176424,4.0,3189.0490654341806,5.0,11.486375341002669,2.0,56.198596712337455,8.0,192.1210198109244,6.0,135.85762809125677,4.0,6274.6930905287545,6.0,41.79303819280274,4.0,21.08057811490626,12.0,135.89270461213317,4.0,159.22858942468008,9.0,92.7030425700885,7.0,470.6302963419247,3.0,193.09889184998315,2.0,1268.8188319129004,3.0,713.2763808283815,9.0,222.62381933494723,11.0,99.0
