Distance Metric,EEG_Eye_State_hr_mc (Davies-Bouldin Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Davies-Bouldin Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Davies-Bouldin Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Davies-Bouldin Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Davies-Bouldin Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Davies-Bouldin Score),Wine_mr_mc (Rank),abalone_hr_lc (Davies-Bouldin Score),abalone_hr_lc (Rank),bupa_lr_lc (Davies-Bouldin Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Davies-Bouldin Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Davies-Bouldin Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (Davies-Bouldin Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Davies-Bouldin Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Davies-Bouldin Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Davies-Bouldin Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Davies-Bouldin Score),page_blocks_classification_hr_mc (Rank),vehicle_lr_hc (Davies-Bouldin Score),vehicle_lr_hc (Rank),yeast_mr_lc (Davies-Bouldin Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
total_variation,0.9153352312815146,13.0,0.8751244916874696,13.0,0.9002758633919455,13.0,1.8248781154220843,11.0,1.1177756751979138,9.0,1.8478316094227132,12.0,0.8609404485370754,13.0,0.9349999722301188,13.0,7.018259307047055,2.0,2.233792026947254,11.0,1.7827589338724292,7.0,1.0797491889379858,13.0,2.52311574921752,13.0,2.568644984180281,11.0,1.1237443949204675,12.0,0.7643798183269194,13.0,1.9884260609823337,9.0,188.0
earth_movers,0.9518293987045549,12.0,1.7039105082888597,3.0,0.9812240833402628,12.0,2.3800652307694854,9.0,1.0210439130928042,10.0,2.2194254341586057,8.0,1.2053741481741862,9.0,1.0181623036018894,12.0,1.63184282054981,12.0,1.9352774281774392,13.0,1.7027424413127312,8.0,1.1826213468339195,12.0,3.126047162111815,6.0,1.8962849212432864,12.0,1.147221578704627,9.0,0.8145467560242564,12.0,2.829867886447097,2.0,161.0
euclidean,1.468688435107793,5.0,0.9600739225319156,10.0,1.978937727891729,8.0,3.022017052708635,5.0,0.9272958479810256,11.0,1.9534537554929556,10.0,1.2959861419779686,6.0,1.8333335861653268,8.0,5.086257431821485,7.0,2.5879519224677683,5.0,1.561930545161445,11.0,3.7077509564645807,3.0,2.5624398697822777,10.0,2.6120667929612877,9.0,1.1252143232837262,10.0,1.3415439719504263,8.0,1.670100199866988,12.0,138.0
minkowski,1.468688435107793,5.0,0.9600739225319156,10.0,1.978937727891729,8.0,3.022017052708635,5.0,0.9272958479810256,11.0,1.9534537554929556,10.0,1.2959861419779686,6.0,1.8333335861653268,8.0,5.086257431821485,7.0,2.5879519224677683,5.0,1.561930545161445,11.0,3.7077509564645807,3.0,2.5624398697822777,10.0,2.6120667929612877,9.0,1.1252143232837262,10.0,1.3415439719504263,8.0,1.670100199866988,12.0,138.0
cosine,1.479696135302104,4.0,0.9442298249808984,12.0,2.057778156242746,6.0,0.49941188492186,13.0,0.9272958479810256,11.0,1.6850165720947927,13.0,1.1630060684708592,10.0,2.009210771337841,6.0,5.153473293992435,6.0,1.983505556430478,12.0,2.142261502392108,2.0,2.700475798124156,9.0,2.7310649171269743,7.0,3.193160760884658,7.0,1.672991719452836,3.0,1.3437994182820263,7.0,2.292273297791662,4.0,132.0
bhattacharyya,1.3436584817787574,11.0,1.0818372599950996,8.0,1.8376239728209989,10.0,3.740934775367397,3.0,1.906360506551011,4.0,2.433013598157961,5.0,1.1072111300761474,11.0,1.0654514400534447,11.0,4.980138029761533,9.0,2.4140066811760903,9.0,1.9932954611187952,4.0,1.4914080406034609,11.0,2.696821052827066,8.0,3.709715522034873,5.0,1.4709214493953688,6.0,1.099207857951081,10.0,2.2040761379218847,6.0,131.0
jensen_shannon,1.4111111893110218,9.0,1.3971006752452215,5.0,1.0209783648821251,11.0,2.332607988777473,10.0,2.071685443115512,3.0,2.3420669244672574,7.0,1.6049792856117018,3.0,1.1575538660606446,10.0,4.813020297228824,10.0,3.2554793936468696,3.0,1.5984656824552363,10.0,1.8679805275106416,10.0,2.593919652683722,9.0,3.431807597793192,6.0,1.472230194767709,5.0,0.8477422312007793,11.0,2.122274794272396,7.0,129.0
kl_divergence,1.356709776790234,10.0,1.0832349118742532,7.0,4.433897380490994,2.0,2.8355601083675968,8.0,1.8926347645193984,5.0,2.7833321219827685,3.0,1.019170919079429,12.0,2.3137645840268344,4.0,4.787406445295036,11.0,3.359338694010832,2.0,1.513129829382502,13.0,3.0046978170562864,6.0,2.543328482013562,12.0,4.78336211526432,4.0,1.4990011308134352,4.0,1.8432287195251935,3.0,1.9874794336219288,10.0,116.0
manhattan,1.4255892522657996,8.0,1.0074102480114255,9.0,1.9873048145362624,7.0,5.265819579485705,2.0,1.1892648045654923,8.0,2.4262954946505917,6.0,1.295506749116304,8.0,3.5622704011559483,1.0,5.32083929059906,5.0,2.503443350732799,7.0,1.8832601691710833,5.0,3.884848186323526,2.0,3.908756587529242,2.0,3.1310658051205347,8.0,1.3077672185492777,7.0,1.485458595557288,5.0,1.9829107308543312,11.0,101.0
chebyshev,2.706940298039056,2.0,1.5061457683935937,4.0,2.1607380117012047,5.0,1.8153045562954384,12.0,1.8313631064984872,6.0,2.8711790621466178,2.0,1.851820891999168,2.0,1.9681461376368483,7.0,8.473353061434883,1.0,2.4990589396242338,8.0,1.8143849345101477,6.0,2.8826894956864475,8.0,3.581226193206163,4.0,1.7182785694119027,13.0,1.0996022627871689,13.0,3.4616699511840623,2.0,2.2718830959276213,5.0,100.0
braycurtis,1.433243187180934,7.0,2.1660562738217903,2.0,5.783086414650314,1.0,2.930957284138491,7.0,1.20039285044316,7.0,2.1163459694891555,9.0,1.3690180793714015,4.0,2.4567371381047347,3.0,5.562109073837841,4.0,2.3111785362224606,10.0,1.613497749402942,9.0,3.397167926745747,5.0,3.3155668948589954,5.0,4.842217842990204,3.0,1.2388747423987538,8.0,1.3887832698004174,6.0,2.0113162353721963,8.0,98.0
canberra,1.705517044680945,3.0,1.3867606539018424,6.0,2.427598519737729,4.0,3.5543698514313635,4.0,7.580675807174527,1.0,2.722341998856358,4.0,1.304149420879058,5.0,2.0470493265030223,5.0,6.323809838565946,3.0,2.975475100682164,4.0,2.1392684583368613,3.0,2.9115355822724616,7.0,3.84548493270016,3.0,7.018583825242038,2.0,3.799433500556699,2.0,1.5368542236924163,4.0,2.7301992610443557,3.0,63.0
