Distance Metric,EEG_Eye_State_hr_mc (Silhouette Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Silhouette Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Silhouette Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Silhouette Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Silhouette Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Silhouette Score),Wine_mr_mc (Rank),abalone_hr_lc (Silhouette Score),abalone_hr_lc (Rank),bupa_lr_lc (Silhouette Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Silhouette Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Silhouette Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (Silhouette Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Silhouette Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Silhouette Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Silhouette Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Silhouette Score),page_blocks_classification_hr_mc (Rank),vehicle_lr_hc (Silhouette Score),vehicle_lr_hc (Rank),yeast_mr_lc (Silhouette Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
earth_movers,0.397882297546888,13.0,0.3291882967902508,4.0,0.4755650479066236,13.0,0.3312801007813767,12.0,0.5760002634638347,10.0,0.2674076329534341,11.0,0.4371602731772192,10.0,0.4719235769855147,13.0,0.4162916564335198,13.0,0.303252634780549,13.0,0.3222716288595721,13.0,0.4774949983571337,13.0,0.1884799665329921,13.0,0.4119214956970538,13.0,0.3603598672527601,10.0,0.5414724817148125,13.0,0.2242890535613219,13.0,200.0
cosine,0.3832031112007294,10.0,0.8018468981103558,13.0,0.2597681834840631,9.0,0.8819459009656083,13.0,0.6428827925270615,12.0,0.2943929855313256,13.0,0.4740305751466039,13.0,0.3381573033799264,9.0,0.0664528351368439,11.0,0.1526248058542157,7.0,0.2572172272037403,12.0,0.1939996506197061,10.0,0.0791020973655676,10.0,0.154738340931489,11.0,0.5102906910721187,13.0,0.4216079285778163,12.0,0.115442618058208,9.0,187.0
bhattacharyya,0.3169931302129645,8.0,0.764396175889502,11.0,0.2828996756394225,11.0,0.1688368830102385,8.0,0.5960330026388427,11.0,0.1743115383112254,10.0,0.4453371948816856,11.0,0.4118188831156082,12.0,0.0648365226663474,10.0,0.2262430800795115,12.0,0.159197251513291,5.0,0.2348976136016067,11.0,0.110653179553737,12.0,0.0911276741748172,4.0,0.3687695656920631,11.0,0.3782986675983262,10.0,0.1459789567365971,12.0,169.0
total_variation,0.3461831119871493,9.0,0.6410090151302202,10.0,0.3854758967003086,12.0,0.2170555480844681,10.0,0.3933947377662565,5.0,0.103871602120689,5.0,0.3644740499493126,9.0,0.3910161371297355,11.0,0.0317274241437096,4.0,0.1762040980298064,10.0,0.1946471869874562,9.0,0.2622118972970766,12.0,0.0597829035843862,6.0,0.1491516324215973,10.0,0.2266413859512413,4.0,0.3832564461923576,11.0,0.0702324285249453,4.0,141.0
kl_divergence,0.2439582892248563,5.0,0.7749249085650559,12.0,0.1884863967134078,4.0,0.0244239981991302,2.0,0.7644865265241141,13.0,0.2832599237132228,12.0,0.4601157638168225,12.0,0.3753871596297734,10.0,0.0710947432641181,12.0,0.0064841643629371,2.0,-0.0339755418608567,1.0,0.168771955997387,9.0,0.1042146369067775,11.0,0.042675267620754,2.0,0.3701913112230182,12.0,0.3733092235099109,9.0,-0.05341009987586,1.0,129.0
euclidean,0.2044528269795973,3.0,0.6073536872010472,8.0,0.1937059294089924,5.0,0.1223361315761146,5.0,0.4547302378287395,8.0,0.1073458890022852,7.0,0.3308227749318162,7.0,0.185654256595135,5.0,0.0347354826181666,6.0,0.1062175965245749,4.0,0.2081864164272734,10.0,0.0651508176802076,3.0,0.0628842515579136,8.0,0.1301069940752845,7.0,0.2775626572111073,7.0,0.3039507266016064,7.0,0.1203162376615379,10.0,110.0
minkowski,0.2044528269795973,3.0,0.6073536872010472,8.0,0.1937059294089924,5.0,0.1223361315761146,5.0,0.4547302378287395,8.0,0.1073458890022852,7.0,0.3308227749318162,7.0,0.185654256595135,5.0,0.0347354826181666,6.0,0.1062175965245749,4.0,0.2081864164272734,10.0,0.0651508176802076,3.0,0.0628842515579136,8.0,0.1301069940752845,7.0,0.2775626572111073,7.0,0.3039507266016064,7.0,0.1203162376615379,10.0,110.0
canberra,0.3931208884477771,11.0,0.3560220045995989,5.0,0.245287361581378,8.0,0.2372807150390314,11.0,0.0983040505719172,2.0,0.0924999090694105,4.0,0.2869090989257148,2.0,0.2238241398092617,7.0,0.0228810705595567,3.0,0.194819068747939,11.0,0.164884187698863,7.0,0.1114693326898311,8.0,0.0104558510545688,3.0,0.1761608049280197,12.0,0.2354491169498921,6.0,0.2273935980363482,3.0,0.0497055776435324,3.0,106.0
manhattan,0.2810778508673771,6.0,0.6006484188753108,7.0,0.2729394911204603,10.0,0.0519501021914383,3.0,0.4180431433612727,7.0,0.0845897595769114,3.0,0.3206723058561196,6.0,0.0887440721555164,2.0,0.0382109693962425,9.0,0.1576726799145226,8.0,0.1517780566106743,4.0,0.0826665728442133,6.0,0.0540380456645163,5.0,0.1331925058681995,9.0,0.1958958833376265,2.0,0.3012551489713436,5.0,0.0882822424150978,7.0,99.0
braycurtis,0.2824994766059307,7.0,0.1895085873973002,2.0,0.0561853859536527,1.0,0.1726383498088652,9.0,0.4129458359462258,6.0,0.1241249811951712,9.0,0.3204766780365584,5.0,0.1135927624379143,3.0,0.0358741942913026,8.0,0.166463384029006,9.0,0.1864832582432315,8.0,0.0975645716601767,7.0,0.0355445324766365,4.0,0.0590538911175906,3.0,0.2010438724105848,3.0,0.3016106391815303,6.0,0.1009262052723652,8.0,98.0
