Distance Metric,EEG_Eye_State_hr_mc (Accuracy),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Accuracy),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Accuracy),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Accuracy),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Accuracy),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Accuracy),Wine_mr_mc (Rank),abalone_hr_lc (Accuracy),abalone_hr_lc (Rank),bupa_lr_lc (Accuracy),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Accuracy),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Accuracy),contaceptive_mr_lc (Rank),ecoli_lr_lc (Accuracy),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Accuracy),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Accuracy),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Accuracy),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Accuracy),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Accuracy),solar_flare_mr_mc (Rank),vehicle_lr_hc (Accuracy),vehicle_lr_hc (Rank),yeast_mr_lc (Accuracy),yeast_mr_lc (Rank),FINAL BORDA SCORE
canberra,0.8347129506008011,13.0,0.9783773907695574,11.0,0.8418032786885247,13.0,0.7114392803598201,13.0,0.644618859401468,11.0,0.558139891212748,9.0,0.2413236684525685,13.0,0.6376811594202898,7.0,0.924074074074074,9.0,0.5003551251008878,13.0,0.8453906935908693,4.0,0.722,7.0,0.94065,8.0,0.8723438767234388,13.0,0.9704006077149752,13.0,0.9913617120743838,1.0,0.933568128455654,13.0,0.5694376194376194,11.0,182.0
braycurtis,0.8345794392523365,12.0,0.9787685458782688,12.0,0.8251912568306011,12.0,0.6511244377811094,4.0,0.6472539055147751,12.0,0.5546962384126255,8.0,0.2367736297739449,12.0,0.6434782608695653,9.0,0.9277777777777778,13.0,0.4847134786117837,5.0,0.8632133450395083,10.0,0.7329999999999999,10.0,0.94975,11.0,0.8537712895377128,9.0,0.9641890594609034,8.0,0.9913617120743838,1.0,0.929887146860562,12.0,0.5802143052143052,13.0,173.0
manhattan,0.8344459279038718,11.0,0.9787686083157338,13.0,0.8119672131147541,10.0,0.6511544227886057,5.0,0.648112177677395,13.0,0.5512027886309661,4.0,0.2365341088158611,11.0,0.6463768115942028,10.0,0.924074074074074,9.0,0.4894753833736885,11.0,0.8691834942932397,13.0,0.7219999999999999,6.0,0.94955,10.0,0.8527169505271696,8.0,0.9627272044276378,7.0,0.9913617120743838,1.0,0.9188214799666742,11.0,0.5714600964600963,12.0,165.0
kl_divergence,0.708,3.0,0.977,3.0,0.7986885245901639,7.0,0.6890854572713644,12.0,0.6203049124788256,4.0,0.5651880793687274,12.0,0.2341414778099304,10.0,0.6579710144927537,13.0,0.9222222222222222,8.0,0.4908474576271186,12.0,0.8483318700614573,5.0,0.7310000000000001,9.0,0.8448,3.0,0.8672000000000001,12.0,0.9676,10.0,0.9913617120743838,1.0,0.8634931454972354,4.0,0.5613454363454364,7.0,135.0
bhattacharyya,0.7081999999999999,4.0,0.977,3.0,0.7920765027322403,3.0,0.6821889055472263,10.0,0.6385544889892716,10.0,0.5643070558492301,10.0,0.2339019568518465,8.0,0.6492753623188406,11.0,0.9166666666666666,2.0,0.4881425112417849,10.0,0.8513169446883231,6.0,0.718,4.0,0.8585999999999998,4.0,0.8572,11.0,0.9682,12.0,0.9913617120743838,1.0,0.8831477694463379,5.0,0.5613454363454364,7.0,121.0
euclidean,0.8306408544726303,9.0,0.978154020738604,9.0,0.7954098360655738,5.0,0.6476461769115442,2.0,0.6281573498964803,6.0,0.5538037232820041,6.0,0.2322290347534596,6.0,0.6,3.0,0.9203703703703704,6.0,0.486786579038395,7.0,0.866198419666374,11.0,0.7380000000000001,12.0,0.95075,12.0,0.8524736415247365,5.0,0.9577935271676974,5.0,0.9913617120743838,1.0,0.8905248807089297,7.0,0.5660569660569661,9.0,121.0
jensen_shannon,0.7081999999999999,4.0,0.977,3.0,0.8085792349726775,8.0,0.6735232383808094,9.0,0.6376886881234707,9.0,0.5651765877576036,11.0,0.2339019568518465,8.0,0.6492753623188406,11.0,0.9166666666666666,2.0,0.4860993889081056,6.0,0.8513169446883231,6.0,0.719,5.0,0.8612,5.0,0.857,10.0,0.9681999999999998,11.0,0.9913617120743838,1.0,0.8892903128076952,6.0,0.5613431613431613,6.0,121.0
minkowski,0.8306408544726303,9.0,0.978154020738604,9.0,0.7954098360655738,5.0,0.6476461769115442,2.0,0.6281573498964803,6.0,0.5538037232820041,6.0,0.2322290347534596,6.0,0.6,3.0,0.9203703703703704,6.0,0.486786579038395,7.0,0.866198419666374,11.0,0.7380000000000001,12.0,0.95075,12.0,0.8524736415247365,5.0,0.9577935271676974,5.0,0.9913617120743838,1.0,0.8905248807089297,7.0,0.5660569660569661,9.0,121.0
cosine,0.8046061415220294,7.0,0.976030803523346,2.0,0.7920765027322404,4.0,0.6546176911544228,6.0,0.6229474872953135,5.0,0.5730598329885851,13.0,0.2276798555998051,5.0,0.6405797101449275,8.0,0.924074074074074,9.0,0.4881332872131903,9.0,0.7977611940298507,2.0,0.736,11.0,0.9492,9.0,0.8522303325223033,4.0,0.965284449007872,9.0,0.9913617120743838,1.0,0.9077406650003788,10.0,0.5579647829647829,4.0,118.0
total_variation,0.7432000000000001,6.0,0.978,8.0,0.8185792349726775,11.0,0.6580359820089955,7.0,0.6307472237907021,8.0,0.5249444572129012,3.0,0.2231312494627969,4.0,0.6173913043478261,5.0,0.925925925925926,12.0,0.4806848841231408,4.0,0.8602721685689201,9.0,0.725,8.0,0.8202,2.0,0.8427999999999999,2.0,0.9562,4.0,0.9913617120743838,1.0,0.8917594486101642,9.0,0.5512398762398762,3.0,106.0
