Distance Metric,EEG_Eye_State_hr_mc (F1 Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (F1 Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (F1 Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (F1 Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (F1 Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (F1 Score),Wine_mr_mc (Rank),abalone_hr_lc (F1 Score),abalone_hr_lc (Rank),bupa_lr_lc (F1 Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (F1 Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (F1 Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (F1 Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (F1 Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (F1 Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (F1 Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (F1 Score),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (F1 Score),solar_flare_mr_mc (Rank),vehicle_lr_hc (F1 Score),vehicle_lr_hc (Rank),yeast_mr_lc (F1 Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
canberra,0.834074557477566,11.0,0.9778756831270016,11.0,0.841187266660743,13.0,0.6979786086098899,13.0,0.6435208681074911,11.0,0.5405622084805624,9.0,0.2247553299306889,13.0,0.6300908845156903,7.0,0.9005835439591184,11.0,0.4963057071036809,13.0,0.8342175978726771,4.0,0.6946260552719941,3.0,0.9408750600551798,8.0,0.8551189771947465,13.0,0.9686247550181476,13.0,0.987062087068044,1.0,0.9339399418584036,13.0,0.5585868414563938,11.0,178.0
braycurtis,0.8343883015288395,13.0,0.9782375663316144,13.0,0.8248030420955527,12.0,0.6364417987479357,5.0,0.6470623197876864,12.0,0.5399990042780628,8.0,0.2209344081420047,12.0,0.6395578138051475,9.0,0.9083065361121287,12.0,0.4800670523071074,5.0,0.8530445930570927,10.0,0.7113362735189375,10.0,0.9498647936196516,11.0,0.8220606704369289,6.0,0.961949430557536,9.0,0.987062087068044,1.0,0.9300835396433764,12.0,0.5699340150513106,13.0,173.0
manhattan,0.8342520009035045,12.0,0.9782072905981865,12.0,0.810829101056861,10.0,0.6373557997678552,6.0,0.647940022421586,13.0,0.5364573394357093,4.0,0.2207997423711657,11.0,0.6430147778820713,10.0,0.8999077977156043,10.0,0.484855100095568,10.0,0.8586141478803789,13.0,0.7051228408211834,7.0,0.9496859530367352,10.0,0.8195982461053202,4.0,0.9604378229271034,7.0,0.987062087068044,1.0,0.919146790990736,11.0,0.559118436571806,12.0,163.0
kl_divergence,0.7077290605217418,3.0,0.9761809732648834,3.0,0.7980851936268338,7.0,0.6802081902401902,12.0,0.6194629792209463,4.0,0.5482900832215627,11.0,0.2196069899318388,10.0,0.6521885332628937,13.0,0.8950151163750923,6.0,0.4880055616449422,12.0,0.8388738275440891,5.0,0.7086543034522977,9.0,0.8450918122425577,3.0,0.848063498081056,12.0,0.9659823907549706,10.0,0.987062087068044,1.0,0.86373260249739,4.0,0.5522173509134786,7.0,132.0
jensen_shannon,0.7079234960030512,4.0,0.9761809732648834,3.0,0.8079982635916251,9.0,0.664119145423525,9.0,0.6371910113828461,9.0,0.5484913882621429,12.0,0.2194075362002397,8.0,0.6431910032987593,11.0,0.8919398061557111,4.0,0.4836955394777156,8.0,0.8415267894299248,6.0,0.6976191708959865,6.0,0.8613902468248238,5.0,0.825836323965944,10.0,0.9666356554336132,12.0,0.987062087068044,1.0,0.8896542086070005,6.0,0.5519794640312604,6.0,129.0
bhattacharyya,0.7079234960030512,4.0,0.9761809732648834,3.0,0.7911779888337083,3.0,0.6711550474338647,11.0,0.6380540000330065,10.0,0.5478685923321136,10.0,0.2194075362002397,8.0,0.6439400412950065,12.0,0.8919398061557111,4.0,0.4856927404118694,11.0,0.8415267894299248,6.0,0.6953931788764873,4.0,0.8588894365515918,4.0,0.8291739850205821,11.0,0.9665746550590284,11.0,0.987062087068044,1.0,0.8834829684113782,5.0,0.5522173509134786,7.0,125.0
cosine,0.8043836577687788,7.0,0.97544176990146,2.0,0.7916834836144586,4.0,0.635228028069221,4.0,0.6230251657248355,5.0,0.5571596614645197,13.0,0.2123204244003647,5.0,0.632153332929817,8.0,0.911772894501708,13.0,0.4846400684915833,9.0,0.7924516890839619,2.0,0.7151862221617847,11.0,0.949288782043348,9.0,0.8230090646077993,9.0,0.9619173342971165,8.0,0.987062087068044,1.0,0.907832219715841,10.0,0.5481763213194306,5.0,125.0
euclidean,0.8304672124125874,9.0,0.9775822696719894,9.0,0.79497782887613,5.0,0.6255146836695277,2.0,0.6279700537137562,6.0,0.5382926757138542,6.0,0.2175732934389671,6.0,0.5962972080274216,3.0,0.8988108387012417,8.0,0.4829304011227481,6.0,0.85622291506766,11.0,0.7201990314182268,12.0,0.9508193129127598,12.0,0.8229549565099225,7.0,0.9548194068701592,5.0,0.987062087068044,1.0,0.8908096044901861,7.0,0.5546286750902176,9.0,124.0
minkowski,0.8304672124125874,9.0,0.9775822696719894,9.0,0.79497782887613,5.0,0.6255146836695277,2.0,0.6279700537137562,6.0,0.5382926757138542,6.0,0.2175732934389671,6.0,0.5962972080274216,3.0,0.8988108387012417,8.0,0.4829304011227481,6.0,0.85622291506766,11.0,0.7201990314182268,12.0,0.9508193129127598,12.0,0.8229549565099225,7.0,0.9548194068701592,5.0,0.987062087068044,1.0,0.8908096044901861,7.0,0.5546286750902176,9.0,124.0
total_variation,0.742743336779534,6.0,0.9772864941001213,8.0,0.8176840477976078,11.0,0.6400205285445472,7.0,0.6304655949887772,8.0,0.5089574659862262,3.0,0.2064786924259221,4.0,0.6136284149903646,5.0,0.8971758479482548,7.0,0.4762069366117352,4.0,0.8502469134236254,9.0,0.7067174327953605,8.0,0.8202842128661112,2.0,0.8048424805972862,2.0,0.9526892195084674,4.0,0.987062087068044,1.0,0.8919146553427983,9.0,0.5420298881854361,3.0,101.0
chebyshev,0.8143456121071304,8.0,0.9771936494304276,7.0,0.7465414546498994,1.0,0.6243608698907028,1.0,0.6029017920462244,1.0,0.5374002877886929,5.0,0.2058484875354621,3.0,0.5947870188087074,2.0,0.8842767514277264,3.0,0.4592906552957563,3.0,0.8447349846428385,8.0,0.6963215070257057,5.0,0.9063518050382372,7.0,0.8196267554731478,5.0,0.949280002630821,3.0,0.987062087068044,1.0,0.8233795635032208,2.0,0.5480307149323747,4.0,69.0
earth_movers,0.6506806907753546,2.0,0.9770710318359324,6.0,0.7718861616091953,2.0,0.669493923159656,10.0,0.6141675963095644,2.0,0.4908029811379443,2.0,0.2029601322195668,2.0,0.6281307750709972,6.0,0.8783302805360069,2.0,0.4320606174113663,1.0,0.8093718474826119,3.0,0.6664422864264475,1.0,0.5038918343297574,1.0,0.7891974308081394,1.0,0.9322643742835708,2.0,0.9880187271782994,13.0,0.7088632023305632,1.0,0.4916925116327298,2.0,59.0
hamming,0.5743481631576909,1.0,0.8651088337782864,1.0,0.8076895973777447,8.0,0.649257091850151,8.0,0.6165803679591016,3.0,0.4669576177248832,1.0,0.1967888531779811,1.0,0.5622966672271386,1.0,0.8741209761893595,1.0,0.4382537005391443,2.0,0.4869265814031219,1.0,0.6825944190056179,2.0,0.8758463517854282,6.0,0.8060735498407322,3.0,0.9289732089333216,1.0,0.987062087068044,1.0,0.8388388513525914,3.0,0.314457840031814,1.0,45.0
