Distance Metric,EEG_Eye_State_hr_mc (Precision),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (Precision),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (Precision),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (Precision),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (Precision),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (Precision),Wine_mr_mc (Rank),abalone_hr_lc (Precision),abalone_hr_lc (Rank),bupa_lr_lc (Precision),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (Precision),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (Precision),contaceptive_mr_lc (Rank),ecoli_lr_lc (Precision),ecoli_lr_lc (Rank),german_credit_data_mr_hc (Precision),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (Precision),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (Precision),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (Precision),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (Precision),solar_flare_mr_mc (Rank),vehicle_lr_hc (Precision),vehicle_lr_hc (Rank),yeast_mr_lc (Precision),yeast_mr_lc (Rank),FINAL BORDA SCORE
canberra,0.834918686444996,13.0,0.9778773926338512,11.0,0.844831256358234,13.0,0.6932479627524875,13.0,0.6529222688683151,13.0,0.5297595095795197,7.0,0.2213190141790555,13.0,0.6350563015802306,7.0,0.9034238387121476,11.0,0.4983192484937627,13.0,0.8392044049203697,4.0,0.6957671201417585,6.0,0.942025313482344,8.0,0.8560674264715713,13.0,0.9691104628708284,13.0,0.9828011347563914,1.0,0.9383386146550514,13.0,0.5657643996726651,11.0,183.0
braycurtis,0.8343801287154001,12.0,0.9782786032168128,12.0,0.8299239055581277,12.0,0.628710063334794,5.0,0.6518014652894955,11.0,0.5351324945433097,9.0,0.2200089262356515,11.0,0.6422737898306293,9.0,0.9241160354500152,13.0,0.4813169975965977,5.0,0.8642831745073719,10.0,0.7140202767401836,10.0,0.9507723020670852,11.0,0.8246215588497217,8.0,0.9623684361350748,8.0,0.9828011347563914,1.0,0.9326117685846258,12.0,0.5769362954767182,13.0,172.0
manhattan,0.8342436725728083,11.0,0.9782909170523182,13.0,0.8159227272245595,10.0,0.6296927063959379,6.0,0.6527483377694694,12.0,0.5318168583357814,8.0,0.2202795406087857,12.0,0.6467499528475138,11.0,0.8907485479214451,9.0,0.4857314106392852,10.0,0.8697888014528583,13.0,0.7033337719298246,7.0,0.950568395151355,10.0,0.822192967730101,4.0,0.9607791467941011,7.0,0.9828011347563914,1.0,0.9222872632845728,11.0,0.5684034150102586,12.0,167.0
kl_divergence,0.7076759845906153,3.0,0.976506296263172,3.0,0.8017812694171539,7.0,0.6747889193796535,12.0,0.6250237795766661,3.0,0.5375371758793727,10.0,0.218491210946282,10.0,0.6554686541785111,13.0,0.8895928331493781,8.0,0.4897638258614547,12.0,0.8434374423750691,5.0,0.7112540360485349,9.0,0.8528712001327005,3.0,0.8481948051748631,12.0,0.9660134869448584,10.0,0.9828011347563914,1.0,0.8667583786836055,4.0,0.5536355593447745,5.0,130.0
cosine,0.8043528880420986,7.0,0.9753903811466056,2.0,0.7978738275425445,4.0,0.6258996081580986,4.0,0.6262753864777426,5.0,0.5450270793027425,13.0,0.2134124975243959,5.0,0.6361422435654104,8.0,0.909378970491192,12.0,0.4856117429408824,9.0,0.7954199024944144,2.0,0.7165526295853895,11.0,0.9501360912908788,9.0,0.8226941116819846,5.0,0.9639138745837096,9.0,0.9828011347563914,1.0,0.909417629123902,10.0,0.5578633667818432,8.0,124.0
jensen_shannon,0.7078757639528336,4.0,0.976506296263172,3.0,0.8121774758915576,8.0,0.659183552171788,9.0,0.6423821118989947,9.0,0.53864780972132,12.0,0.2183274192583709,8.0,0.6464222592536485,10.0,0.8863895544241455,4.0,0.4848168818554918,8.0,0.8458327679782902,6.0,0.6955713773287957,5.0,0.8680129404324537,5.0,0.8306219974840943,10.0,0.9667146214957664,12.0,0.9828011347563914,1.0,0.8919708192499771,6.0,0.5533047208026736,4.0,124.0
bhattacharyya,0.7078757639528336,4.0,0.976506296263172,3.0,0.7959255751688292,3.0,0.6655049913240065,11.0,0.6429931615227161,10.0,0.538406621514848,11.0,0.2183274192583709,8.0,0.6471103831801921,12.0,0.8863895544241455,4.0,0.4870553538514363,11.0,0.8458327679782902,6.0,0.6928306994907493,3.0,0.8656007365693267,4.0,0.8310185164245139,11.0,0.9666450143371408,11.0,0.9828011347563914,1.0,0.8857921578925081,5.0,0.5536355593447745,5.0,123.0
euclidean,0.8304654637876221,9.0,0.9776522781808,9.0,0.7998630922014923,5.0,0.6163011679065872,2.0,0.6318773247100019,6.0,0.5290570898981183,5.0,0.2146264220644392,6.0,0.5974016358374735,3.0,0.8864233545690773,6.0,0.4836630234763282,6.0,0.864545109918561,11.0,0.722547061034122,12.0,0.9515059015958536,12.0,0.823000512489028,6.0,0.9552578817829402,5.0,0.9828011347563914,1.0,0.892848816093671,7.0,0.5626603790966846,9.0,120.0
minkowski,0.8304654637876221,9.0,0.9776522781808,9.0,0.7998630922014923,5.0,0.6163011679065872,2.0,0.6318773247100019,6.0,0.5290570898981183,5.0,0.2146264220644392,6.0,0.5974016358374735,3.0,0.8864233545690773,6.0,0.4836630234763282,6.0,0.864545109918561,11.0,0.722547061034122,12.0,0.9515059015958536,12.0,0.823000512489028,6.0,0.9552578817829402,5.0,0.9828011347563914,1.0,0.892848816093671,7.0,0.5626603790966846,9.0,120.0
total_variation,0.7429049438049236,6.0,0.9775393230650452,8.0,0.8241161010092792,11.0,0.6302967406501214,7.0,0.6344048764681715,8.0,0.4978338109670213,3.0,0.2031414604464295,4.0,0.614578583656385,5.0,0.8981982623309843,10.0,0.4766499758575241,4.0,0.8578120887104413,9.0,0.7045929694568434,8.0,0.830845315397098,2.0,0.8005228715312777,2.0,0.9534947312027252,4.0,0.9828011347563914,1.0,0.8971483698325166,9.0,0.545529538823302,3.0,104.0
chebyshev,0.8143303283620102,8.0,0.9772700090747006,7.0,0.7556205942519917,1.0,0.6141419182462208,1.0,0.6070078339423549,1.0,0.5281476946341698,4.0,0.202015755730669,3.0,0.5940048540835408,2.0,0.8820597834149236,3.0,0.45959387211394,3.0,0.8534179064556217,8.0,0.6942110760123562,4.0,0.9086280243710894,7.0,0.8152183145363818,3.0,0.9501774361669032,3.0,0.9828011347563914,1.0,0.8301364358421974,2.0,0.5578199028127443,7.0,68.0
