Distance Metric,EEG_Eye_State_hr_mc (F1 Score),EEG_Eye_State_hr_mc (Rank),HTRU_2_hr_lc (F1 Score),HTRU_2_hr_lc (Rank),Heart_disease_lr_mc (F1 Score),Heart_disease_lr_mc (Rank),Indian_Liver_Patient_lr_mc (F1 Score),Indian_Liver_Patient_lr_mc (Rank),Retinopathy_Debrecen_mr_hc (F1 Score),Retinopathy_Debrecen_mr_hc (Rank),Wine_mr_mc (F1 Score),Wine_mr_mc (Rank),abalone_hr_lc (F1 Score),abalone_hr_lc (Rank),bupa_lr_lc (F1 Score),bupa_lr_lc (Rank),climate_model_crashes_lr_hc (F1 Score),climate_model_crashes_lr_hc (Rank),contaceptive_mr_lc (F1 Score),contaceptive_mr_lc (Rank),ecoli_lr_lc (F1 Score),ecoli_lr_lc (Rank),german_credit_data_mr_hc (F1 Score),german_credit_data_mr_hc (Rank),letter-recognition_hr_hc (F1 Score),letter-recognition_hr_hc (Rank),online_shoppers_intention_hr_hc (F1 Score),online_shoppers_intention_hr_hc (Rank),page_blocks_classification_hr_mc (F1 Score),page_blocks_classification_hr_mc (Rank),solar_flare_mr_mc (F1 Score),solar_flare_mr_mc (Rank),vehicle_lr_hc (F1 Score),vehicle_lr_hc (Rank),yeast_mr_lc (F1 Score),yeast_mr_lc (Rank),FINAL BORDA SCORE
canberra,0.8359596637581272,13.0,0.9741176298106304,5.0,0.827929743826887,13.0,0.6504158012293145,11.0,0.6777670323159735,8.0,0.575122054405903,13.0,0.2148495041509775,13.0,0.6870576471197023,9.0,0.9305157373109504,9.0,0.5450310558134717,13.0,0.8459437342745298,8.0,0.7314553457231876,11.0,0.9350126980843554,9.0,0.8734323330908186,10.0,0.9575285556615596,13.0,0.9768486338425816,7.0,0.9525291817365934,12.0,0.5762991680601963,5.0,182.0
jensen_shannon,0.704471516906237,6.0,0.9762336227242429,12.0,0.8209660592609633,6.0,0.6512702396594995,12.0,0.6882283757807682,11.0,0.5630806633652736,10.0,0.1871482369823865,9.0,0.7088883921662906,11.0,0.9362870128777268,11.0,0.522095119229443,8.0,0.8367887199396777,6.0,0.7341955370591325,13.0,0.8723917942170079,6.0,0.8667808920281221,7.0,0.9502302682704544,12.0,0.9797165764582876,12.0,0.94766154801169,11.0,0.5894308239847856,11.0,174.0
braycurtis,0.8358262361877082,11.0,0.9742789527060512,6.0,0.8213198943498933,8.0,0.6444495635500459,8.0,0.693098390719762,13.0,0.5627154496277015,9.0,0.1982026791363897,12.0,0.6805366239074642,8.0,0.9285199399623976,7.0,0.5319760893571274,11.0,0.8552983567334864,13.0,0.7200276164670592,8.0,0.940721779877114,10.0,0.8756692700610846,11.0,0.9485122196228982,11.0,0.9646123162732498,2.0,0.9527460334259624,13.0,0.5845304688130827,8.0,169.0
manhattan,0.8359565469612606,12.0,0.9747762647160112,7.0,0.814664857329513,5.0,0.6442697229613537,7.0,0.6899384190320721,12.0,0.5660730731435534,11.0,0.1980380484127755,11.0,0.6782400462000944,7.0,0.9311368449195384,10.0,0.5394986903467741,12.0,0.8540875670277179,9.0,0.7175312051389346,7.0,0.9444663435736111,11.0,0.8774233292876499,12.0,0.9469156962338948,10.0,0.9692310532129385,5.0,0.9453884713414612,10.0,0.584135396630429,7.0,165.0
euclidean,0.8146370907946572,9.0,0.9754645125076348,8.0,0.8278405345740371,11.0,0.6114683775232308,3.0,0.6742885202376129,6.0,0.5597919292188789,7.0,0.1832906803264559,6.0,0.6777506094710202,5.0,0.9373826597198998,12.0,0.4847676630212885,4.0,0.8549777251167379,11.0,0.7205950830529109,9.0,0.9499968204414584,12.0,0.8187543467170325,4.0,0.93336977628277,6.0,0.9781926571729456,9.0,0.9453217522891812,8.0,0.596828025682753,12.0,142.0
minkowski,0.8146370907946572,9.0,0.9754645125076348,8.0,0.8278405345740371,11.0,0.6114683775232308,3.0,0.6742885202376129,6.0,0.5597919292188789,7.0,0.1832906803264559,6.0,0.6777506094710202,5.0,0.9373826597198998,12.0,0.4847676630212885,4.0,0.8549777251167379,11.0,0.7205950830529109,9.0,0.9499968204414584,12.0,0.8187543467170325,4.0,0.93336977628277,6.0,0.9781926571729456,9.0,0.9453217522891812,8.0,0.596828025682753,12.0,142.0
total_variation,0.738259629685022,8.0,0.9759617917381798,10.0,0.8242495707489088,10.0,0.6481439419488242,10.0,0.6816768229894054,9.0,0.5520055681035505,6.0,0.1948302441780592,10.0,0.6567330238518205,4.0,0.9304349700457276,8.0,0.5155834308742508,7.0,0.8542891356584358,10.0,0.7095874800520747,4.0,0.8615665582944233,5.0,0.8695749717038348,9.0,0.9399884845288866,9.0,0.9738337073634432,6.0,0.937140836252394,5.0,0.5805900261794904,6.0,136.0
bhattacharyya,0.6491271594602956,4.0,0.9763913480911872,13.0,0.8240206124238385,9.0,0.6288024685029154,5.0,0.6827619906174923,10.0,0.5005673545069598,5.0,0.1172956693982669,3.0,0.7101359627898866,12.0,0.9055777032623292,6.0,0.523387146696332,9.0,0.8399437418398051,7.0,0.7336899880483521,12.0,0.8345769932678619,4.0,0.867882772356456,8.0,0.9373748940852648,8.0,0.965764834876277,3.0,0.943915697375908,7.0,0.5874971234771801,10.0,135.0
hamming,0.6648124913669096,5.0,0.8648353668096551,1.0,0.8083433616966726,3.0,0.6726974931729685,13.0,0.6123184582257586,3.0,0.5672625488432947,12.0,0.0982887800793448,2.0,0.5789897538982649,2.0,0.8741209761893595,2.0,0.5235504150300156,10.0,0.5245281465674099,1.0,0.7114582343141351,5.0,0.8926765453234822,7.0,0.8812401291478142,13.0,0.9325368073326782,5.0,0.978151224507128,8.0,0.8090076314461889,4.0,0.4163695981400336,1.0,97.0
cosine,0.7261763014089447,7.0,0.9690812576784732,3.0,0.8111406573515515,4.0,0.6006313421734151,2.0,0.6732907660949958,5.0,0.4905093773950365,4.0,0.1178855366578815,4.0,0.719877076729851,13.0,0.9000151078298699,5.0,0.4939473681434617,6.0,0.7672906331867885,2.0,0.7124532918814965,6.0,0.9107519802976156,8.0,0.8313836507778747,6.0,0.9265769885045948,3.0,0.961158800200885,1.0,0.9430119859931632,6.0,0.5549232582348581,4.0,89.0
