Dataset,Category,Algorithm,Metric Type,Distance Metric,Accuracy,Precision,Recall,F1 Score,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Adjusted Rand Index,Normalized Mutual Info
bupa_lr_lc.csv,balanced,KNN,Geometric,euclidean,0.6,0.5974016358374735,0.6,0.5962972080274216,,,,,
bupa_lr_lc.csv,balanced,SVM,Geometric,euclidean,0.6782608695652174,0.6870973544128247,0.6782608695652174,0.6777506094710202,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Geometric,euclidean,,,,,0.185654256595135,1.8333335861653268,77.55471418626166,0.00020025750184139216,0.002229083856091206
bupa_lr_lc.csv,balanced,DBSCAN,Geometric,euclidean,,,,,0.4172514955317494,1.5516970792008256,101.45447231503567,-0.004769368905183331,0.0004142790995485737
bupa_lr_lc.csv,balanced,KNN,Geometric,manhattan,0.6463768115942028,0.6467499528475138,0.6463768115942028,0.6430147778820713,,,,,
bupa_lr_lc.csv,balanced,SVM,Geometric,manhattan,0.6782608695652173,0.6865814579246631,0.6782608695652173,0.6782400462000944,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Geometric,manhattan,,,,,0.08874407215551644,3.5622704011559483,20.60524408649494,0.057902179869145004,0.04148736383928268
bupa_lr_lc.csv,balanced,DBSCAN,Geometric,manhattan,,,,,0.4223521178255309,1.534174645708027,98.77575097936717,-0.006329027173747713,0.0010374920687934667
bupa_lr_lc.csv,balanced,KNN,Geometric,minkowski,0.6,0.5974016358374735,0.6,0.5962972080274216,,,,,
bupa_lr_lc.csv,balanced,SVM,Geometric,minkowski,0.6782608695652174,0.6870973544128247,0.6782608695652174,0.6777506094710202,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Geometric,minkowski,,,,,0.185654256595135,1.8333335861653268,77.55471418626166,0.00020025750184139216,0.002229083856091206
bupa_lr_lc.csv,balanced,DBSCAN,Geometric,minkowski,,,,,0.4172514955317494,1.5516970792008256,101.45447231503567,-0.004769368905183331,0.0004142790995485737
bupa_lr_lc.csv,balanced,KNN,Geometric,chebyshev,0.5971014492753624,0.5940048540835408,0.5971014492753624,0.5947870188087074,,,,,
bupa_lr_lc.csv,balanced,SVM,Geometric,chebyshev,0.553623188405797,0.5742005311793855,0.553623188405797,0.5547454420252349,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Geometric,chebyshev,,,,,0.16802101020326451,1.9681461376368485,63.77063393646794,0.001532149268240084,0.002435921751377768
bupa_lr_lc.csv,balanced,DBSCAN,Geometric,chebyshev,,,,,0.18483782908257151,2.807306788992909,49.40722596379052,-0.006480770136009127,0.004346454194580054
bupa_lr_lc.csv,balanced,KNN,Geometric,canberra,0.6376811594202898,0.6350563015802306,0.6376811594202898,0.6300908845156903,,,,,
bupa_lr_lc.csv,balanced,SVM,Geometric,canberra,0.6898550724637681,0.690998093928632,0.6898550724637681,0.6870576471197023,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Geometric,canberra,,,,,0.22382413980926177,2.0470493265030223,61.241276675890525,-0.00040637619885862993,0.0018489707752764397
bupa_lr_lc.csv,balanced,DBSCAN,Geometric,canberra,,,,,0.1733030373133737,4.013930253471256,3.188230821329818,-7.962554906428535e-05,0.0009881493531059603
bupa_lr_lc.csv,balanced,KNN,Geometric,braycurtis,0.6434782608695653,0.6422737898306293,0.6434782608695653,0.6395578138051475,,,,,
bupa_lr_lc.csv,balanced,SVM,Geometric,braycurtis,0.6811594202898551,0.6901295225808399,0.6811594202898551,0.6805366239074642,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Geometric,braycurtis,,,,,0.11359276243791433,2.4567371381047347,39.98047141309515,-0.00021993264792771717,0.004535167468050669
bupa_lr_lc.csv,balanced,DBSCAN,Geometric,braycurtis,,,,,0.34798758502661176,2.6577383931298892,14.137679761014441,-0.00524228673408101,0.002505110125247723
bupa_lr_lc.csv,balanced,KNN,Geometric,hamming,0.5652173913043479,0.5637171288645358,0.5652173913043479,0.5622966672271386,,,,,
bupa_lr_lc.csv,balanced,SVM,Geometric,hamming,0.5768115942028984,0.5923882039994572,0.5768115942028984,0.5789897538982649,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Geometric,hamming,,,,,0.00996190976973021,3.3025916535429505,6.080141499714894,0.01821607762098671,0.010378330044990799
bupa_lr_lc.csv,balanced,DBSCAN,Geometric,hamming,,,,,,,,,
bupa_lr_lc.csv,balanced,KNN,Geometric,cosine,0.6405797101449275,0.6361422435654104,0.6405797101449275,0.632153332929817,,,,,
bupa_lr_lc.csv,balanced,SVM,Geometric,cosine,0.7217391304347827,0.72556888620815,0.7217391304347827,0.719877076729851,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Geometric,cosine,,,,,0.33815730337992644,2.009210771337841,64.78530423158767,0.012714812880138707,0.012640319392287698
bupa_lr_lc.csv,balanced,DBSCAN,Geometric,cosine,,,,,0.5662742820443889,1.7738291830197659,34.79995912008337,-0.0029235255352095812,0.0004767851601436027
bupa_lr_lc.csv,balanced,KNN,Probabilistic,earth_movers,0.608695652173913,0.6058723598722409,0.608695652173913,0.5998418469727973,,,,,
bupa_lr_lc.csv,balanced,SVM,Probabilistic,earth_movers,0.6,0.6045484328210101,0.6,0.5971655871691571,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Probabilistic,earth_movers,,,,,0.45794253043629257,1.0160619913202336,227.14118760369104,-0.0029486970386877285,0.00040050651415141374
bupa_lr_lc.csv,balanced,DBSCAN,Probabilistic,earth_movers,,,,,0.21574445440151363,9.464990863192515,91.85725107338678,-0.00745493539113075,0.0062413059277190795
bupa_lr_lc.csv,balanced,KNN,Probabilistic,kl_divergence,0.6347826086956522,0.6300579137137357,0.6347826086956522,0.6271411904821863,,,,,
bupa_lr_lc.csv,balanced,SVM,Probabilistic,kl_divergence,0.6985507246376811,0.7024213984998299,0.6985507246376811,0.6991419652449566,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Probabilistic,kl_divergence,,,,,0.5023801869390893,1.2458718385975682,140.94394778593147,0.01576902439508114,0.014204271623953518
bupa_lr_lc.csv,balanced,DBSCAN,Probabilistic,kl_divergence,,,,,0.40760149870482093,1.4201404861561608,86.66806115797725,-0.002769749035594907,0.00010492503194834404
bupa_lr_lc.csv,balanced,KNN,Probabilistic,jensen_shannon,0.6405797101449275,0.6363792615893773,0.6405797101449275,0.6316832836615798,,,,,
bupa_lr_lc.csv,balanced,SVM,Probabilistic,jensen_shannon,0.7014492753623187,0.7030906703346255,0.7014492753623187,0.700909688750379,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Probabilistic,jensen_shannon,,,,,0.28775712851782964,1.3341543540983294,113.61674874137879,0.018916509402098658,0.013644243192930932
bupa_lr_lc.csv,balanced,DBSCAN,Probabilistic,jensen_shannon,,,,,0.4536065093832013,0.8035655973552511,224.50490654821138,0.0003216801853797152,6.798253627896523e-05
bupa_lr_lc.csv,balanced,KNN,Probabilistic,bhattacharyya,0.6376811594202898,0.6325725398159997,0.6376811594202898,0.6290903808976951,,,,,
bupa_lr_lc.csv,balanced,SVM,Probabilistic,bhattacharyya,0.7130434782608696,0.7150521725677401,0.7130434782608696,0.7131716743705881,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Probabilistic,bhattacharyya,,,,,0.4606036843707565,1.1730824544463871,171.1629405116021,0.0013269221487194492,0.005472108096616248
bupa_lr_lc.csv,balanced,DBSCAN,Probabilistic,bhattacharyya,,,,,0.654479600975432,0.8367951436627238,210.9126940148261,-0.0027590980909973505,0.00016561408827732663
bupa_lr_lc.csv,balanced,KNN,Probabilistic,total_variation,0.6608695652173913,0.6605368674547314,0.6608695652173913,0.656468832123562,,,,,
bupa_lr_lc.csv,balanced,SVM,Probabilistic,total_variation,0.6811594202898551,0.6889450573021106,0.6811594202898551,0.6800218061776104,,,,,
bupa_lr_lc.csv,balanced,K-Medoids,Probabilistic,total_variation,,,,,0.39370594984048957,0.9224406897524935,300.8207468783303,-0.0032904559174952697,0.003058002206307942
bupa_lr_lc.csv,balanced,DBSCAN,Probabilistic,total_variation,,,,,0.5445920587095213,0.7777602502186192,372.4322651968661,-0.0038575272111756884,0.00020331599560182722
Heart_disease_lr_mc.csv,balanced,KNN,Geometric,euclidean,0.7954098360655738,0.7998630922014923,0.7954098360655738,0.79497782887613,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Geometric,euclidean,0.8284153005464481,0.8310882183256263,0.8284153005464481,0.8278405345740371,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Geometric,euclidean,,,,,0.19370592940899242,1.978937727891729,71.28986959286735,0.3312904914747651,0.25596093575663775
Heart_disease_lr_mc.csv,balanced,DBSCAN,Geometric,euclidean,,,,,0.16967040288496588,0.7133264582591728,1.9106848975249993,0.0011871137356297711,0.007243405287056697
Heart_disease_lr_mc.csv,balanced,KNN,Geometric,manhattan,0.8119672131147541,0.8159227272245595,0.8119672131147541,0.810829101056861,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Geometric,manhattan,0.8152459016393442,0.8183909639059788,0.8152459016393442,0.814664857329513,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Geometric,manhattan,,,,,0.2729394911204603,1.9873048145362626,69.63505573796823,0.40365894957872805,0.3226769331943592
Heart_disease_lr_mc.csv,balanced,DBSCAN,Geometric,manhattan,,,,,0.24947831637398538,1.6714912373711508,4.533851183085792,0.005272258708721319,0.02734677698120291
Heart_disease_lr_mc.csv,balanced,KNN,Geometric,minkowski,0.7954098360655738,0.7998630922014923,0.7954098360655738,0.79497782887613,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Geometric,minkowski,0.8284153005464481,0.8310882183256263,0.8284153005464481,0.8278405345740371,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Geometric,minkowski,,,,,0.19370592940899242,1.978937727891729,71.28986959286735,0.3312904914747651,0.25596093575663775
Heart_disease_lr_mc.csv,balanced,DBSCAN,Geometric,minkowski,,,,,0.16967040288496588,0.7133264582591728,1.9106848975249993,0.0011871137356297711,0.007243405287056697
Heart_disease_lr_mc.csv,balanced,KNN,Geometric,chebyshev,0.7491256830601093,0.7556205942519917,0.7491256830601093,0.7465414546498994,,,,,
Heart_disease_lr_mc.csv,balanced,SVM,Geometric,chebyshev,0.7392896174863388,0.750319294314006,0.7392896174863388,0.7386314842375954,,,,,
Heart_disease_lr_mc.csv,balanced,K-Medoids,Geometric,chebyshev,,,,,0.07508874947318463,2.1607380117012047,25.951135560095114,-0.003444549903609356,0.012102879962209092
Heart_disease_lr_mc.csv,balanced,DBSCAN,Geometric,chebyshev,,,,,,,,,
