laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,Adjusted_p,kredit
0.0,0.010294117647058823,0.05,0.01,0.002198195223946297,0.0,0.0125,0.05,0.016666666666666666,0.0,0.05,0.016666666666666666,0.0017857142857142857,0.05,0.0,0.0,0.03333333333333333,0.05,0.0,0.05,0.596555306176614,1
0.0,0.003676470588235294,0.05,0.0,0.007012765489160339,0.0,0.025,0.016666666666666666,0.03333333333333333,0.0,0.016666666666666666,0.0,0.015178571428571427,0.05,0.0,0.016666666666666666,0.03333333333333333,0.0,0.0,0.05,0.6824655258273663,1
0.016666666666666666,0.0058823529411764705,0.025,0.045,0.0016259491581379995,0.0125,0.0375,0.016666666666666666,0.016666666666666666,0.0,0.05,0.0,0.0035714285714285713,0.05,0.0,0.0,0.016666666666666666,0.05,0.0,0.05,0.6022536026625904,1
0.0,0.0058823529411764705,0.05,0.0,0.005150214592274678,0.0,0.025,0.03333333333333333,0.03333333333333333,0.0,0.016666666666666666,0.0,0.017857142857142856,0.05,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.7294436229427393,1
0.0,0.0058823529411764705,0.05,0.0,0.0052850225597006716,0.0,0.025,0.05,0.03333333333333333,0.0,0.05,0.016666666666666666,0.016964285714285716,0.0,0.025,0.016666666666666666,0.016666666666666666,0.05,0.0,0.0,0.6385350054515038,1
0.0,0.004411764705882353,0.05,0.0,0.005477605370309233,0.0,0.0125,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.025892857142857145,0.05,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.7517177727809513,1
0.0,0.0029411764705882353,0.05,0.0,0.008660724111367889,0.0,0.0375,0.0,0.03333333333333333,0.0,0.05,0.0,0.017857142857142856,0.05,0.025,0.016666666666666666,0.016666666666666666,0.05,0.0,0.0,0.6413742898942343,1
0.0,0.0014705882352941176,0.05,0.0,0.0030565643226587434,0.0,0.0125,0.016666666666666666,0.03333333333333333,0.0,0.05,0.0,0.01875,0.05,0.025,0.0,0.016666666666666666,0.0,0.0,0.0,0.7225561807753804,1
0.05,0.010294117647058823,0.05,0.015,0.00233300319137229,0.0,0.0,0.05,0.016666666666666666,0.0,0.05,0.03333333333333333,0.04107142857142857,0.05,0.025,0.016666666666666666,0.0,0.05,0.0,0.05,0.4896347839234736,1
0.016666666666666666,0.014705882352941176,0.025,0.015,0.009651149994497633,0.025,0.0,0.0,0.016666666666666666,0.0,0.05,0.05,0.0035714285714285713,0.05,0.0,0.0,0.0,0.05,0.0,0.05,0.6237382057477994,1
0.0,0.005147058823529412,0.05,0.0,0.010055573896775614,0.0,0.025,0.016666666666666666,0.03333333333333333,0.0,0.016666666666666666,0.0,0.015178571428571427,0.05,0.0,0.016666666666666666,0.03333333333333333,0.0,0.0,0.05,0.6779521291844569,1
0.0,0.019117647058823527,0.05,0.005,0.016333773522614725,0.0125,0.0375,0.0,0.05,0.0,0.05,0.03333333333333333,0.004464285714285714,0.05,0.0,0.016666666666666666,0.03333333333333333,0.05,0.0,0.05,0.5217509603709427,1
0.0,0.0014705882352941176,0.05,0.015,0.004696269395840212,0.0,0.0375,0.0,0.016666666666666666,0.0,0.05,0.03333333333333333,0.010714285714285714,0.05,0.025,0.0,0.03333333333333333,0.05,0.0,0.05,0.5722855233212467,1
0.016666666666666666,0.03235294117647059,0.0375,0.05,0.02017167381974249,0.0125,0.0,0.016666666666666666,0.03333333333333333,0.0,0.05,0.05,0.010714285714285714,0.05,0.025,0.0,0.05,0.05,0.05,0.05,0.3950944326228344,1
0.0,0.010294117647058823,0.025,0.015,0.004638494552657643,0.05,0.0375,0.016666666666666666,0.05,0.0,0.05,0.03333333333333333,0.0035714285714285713,0.05,0.0,0.016666666666666666,0.016666666666666666,0.05,0.0,0.05,0.5206626258955217,1
0.0,0.0014705882352941176,0.025,0.015,0.00659458567183889,0.025,0.025,0.016666666666666666,0.03333333333333333,0.0,0.03333333333333333,0.0,0.022321428571428572,0.05,0.0,0.0,0.03333333333333333,0.0,0.0,0.05,0.6629467308547718,1
0.0,0.005147058823529412,0.05,0.0,0.010149114119071202,0.0,0.025,0.0,0.03333333333333333,0.0,0.016666666666666666,0.0,0.01875,0.05,0.025,0.016666666666666666,0.016666666666666666,0.0,0.0,0.05,0.6826204937240661,1
0.016666666666666666,0.010294117647058823,0.025,0.015,0.008151755254759547,0.025,0.0125,0.0,0.05,0.0,0.03333333333333333,0.0,0.005357142857142857,0.05,0.0,0.0,0.03333333333333333,0.05,0.0,0.05,0.6153636509077054,1
0.016666666666666666,0.023529411764705882,0.05,0.015,0.005741718939143832,0.0,0.05,0.05,0.03333333333333333,0.0,0.05,0.0,0.015178571428571427,0.05,0.025,0.0,0.03333333333333333,0.05,0.0,0.05,0.48221696453424556,1
0.05,0.005147058823529412,0.05,0.0,0.019197755034664907,0.0,0.025,0.0,0.03333333333333333,0.0,0.05,0.016666666666666666,0.017857142857142856,0.05,0.025,0.016666666666666666,0.016666666666666666,0.05,0.0,0.05,0.5244647099513295,1
0.0,0.0014705882352941176,0.05,0.0,0.009425552987784748,0.0,0.025,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.016071428571428573,0.05,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.05,0.6646990968721593,1
0.016666666666666666,0.0058823529411764705,0.05,0.0,0.007906899966985804,0.0,0.0125,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.026785714285714284,0.0,0.025,0.016666666666666666,0.016666666666666666,0.0,0.0,0.05,0.7052583661394568,1
0.016666666666666666,0.023529411764705882,0.025,0.025,0.005871024540552437,0.0,0.0125,0.05,0.03333333333333333,0.0,0.0,0.05,0.0125,0.05,0.0,0.0,0.016666666666666666,0.05,0.0,0.05,0.578932897028075,0
0.016666666666666666,0.0058823529411764705,0.05,0.02,0.003229888852206449,0.0,0.0375,0.05,0.03333333333333333,0.0,0.03333333333333333,0.016666666666666666,0.00625,0.05,0.025,0.0,0.03333333333333333,0.05,0.0,0.05,0.5188044248732838,1
0.0,0.0014705882352941176,0.05,0.0,0.012286783316826236,0.05,0.0125,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.022321428571428572,0.05,0.025,0.016666666666666666,0.016666666666666666,0.0,0.0,0.05,0.6264211998764511,1
0.016666666666666666,0.005147058823529412,0.0375,0.015,0.012438098382304391,0.0,0.0375,0.016666666666666666,0.03333333333333333,0.0,0.05,0.016666666666666666,0.02857142857142857,0.05,0.025,0.0,0.03333333333333333,0.05,0.0,0.05,0.522176747556071,1
0.0,0.0058823529411764705,0.025,0.01,0.0011059755694948828,0.0,0.05,0.05,0.016666666666666666,0.0,0.05,0.016666666666666666,0.004464285714285714,0.05,0.0,0.0,0.03333333333333333,0.05,0.0,0.05,0.5868807191083762,1
0.016666666666666666,0.003676470588235294,0.05,0.015,0.0024870694398591393,0.0,0.05,0.016666666666666666,0.03333333333333333,0.0,0.05,0.0,0.016071428571428573,0.05,0.025,0.03333333333333333,0.016666666666666666,0.05,0.0,0.05,0.5210983647338103,1
0.05,0.008088235294117648,0.025,0.0,0.009095411026741499,0.05,0.025,0.03333333333333333,0.03333333333333333,0.0,0.016666666666666666,0.05,0.008928571428571428,0.05,0.025,0.0,0.03333333333333333,0.05,0.0,0.05,0.4822211155839027,1
0.03333333333333333,0.027941176470588237,0.05,0.005,0.012506877957521733,0.0,0.05,0.05,0.03333333333333333,0.0,0.05,0.05,0.033035714285714286,0.05,0.05,0.0,0.03333333333333333,0.05,0.0,0.05,0.3715162312861757,1
0.03333333333333333,0.019117647058823527,0.05,0.015,0.007612523385055574,0.0,0.05,0.05,0.03333333333333333,0.0,0.05,0.016666666666666666,0.025,0.05,0.025,0.0,0.03333333333333333,0.05,0.0,0.05,0.4416031628894542,1
0.05,0.023529411764705882,0.05,0.0,0.00903763618355893,0.0,0.0375,0.05,0.03333333333333333,0.0,0.05,0.03333333333333333,0.016071428571428573,0.05,0.025,0.016666666666666666,0.03333333333333333,0.05,0.05,0.05,0.37219485681363984,1
0.05,0.023529411764705882,0.05,0.0,0.01750852866732695,0.0,0.05,0.05,0.03333333333333333,0.0,0.05,0.03333333333333333,0.013392857142857142,0.05,0.025,0.016666666666666666,0.05,0.05,0.05,0.05,0.3372358690917766,1
0.05,0.014705882352941176,0.025,0.015,0.0030978320677891493,0.025,0.0375,0.05,0.016666666666666666,0.0,0.0,0.03333333333333333,0.008035714285714287,0.05,0.025,0.0,0.03333333333333333,0.05,0.0,0.05,0.5133272379602221,1
0.0,0.008088235294117648,0.025,0.0,0.004046990205788489,0.0,0.0125,0.016666666666666666,0.03333333333333333,0.0,0.03333333333333333,0.0,0.015178571428571427,0.05,0.025,0.0,0.03333333333333333,0.05,0.0,0.05,0.6435195364048558,1
0.0,0.0014705882352941176,0.05,0.0,0.0016782216353031804,0.0,0.05,0.0,0.016666666666666666,0.0,0.05,0.05,0.017857142857142856,0.05,0.025,0.016666666666666666,0.03333333333333333,0.05,0.05,0.05,0.4873273806055932,1
0.05,0.0058823529411764705,0.05,0.0,0.003425222845823704,0.0,0.05,0.05,0.03333333333333333,0.0,0.0,0.0,0.016964285714285716,0.05,0.025,0.016666666666666666,0.016666666666666666,0.0,0.0,0.05,0.5820614718320474,1
0.05,0.0058823529411764705,0.05,0.015,0.004632992186640255,0.0,0.05,0.016666666666666666,0.03333333333333333,0.0,0.016666666666666666,0.05,0.00625,0.05,0.025,0.016666666666666666,0.03333333333333333,0.05,0.0,0.05,0.4765679882055166,1
0.05,0.010294117647058823,0.025,0.005,0.008605700451194014,0.05,0.025,0.016666666666666666,0.03333333333333333,0.0,0.0,0.016666666666666666,0.010714285714285714,0.05,0.025,0.0,0.03333333333333333,0.05,0.05,0.05,0.4903858961874614,1
