mcg,gvh,alm,mit,erl,pox,vac,nuc,Adjusted_p,name
0.0725,0.07625,0.05875,0.01625,0.0625,0.0,0.0821917808219178,0.0275,0.6040582191780821,0
0.05375,0.08375,0.06,0.03375,0.0625,0.0,0.09075342465753425,0.0275,0.5879965753424656,0
0.08,0.0775,0.06125,0.01875,0.0625,0.0,0.09075342465753425,0.0275,0.5817465753424658,0
0.0725,0.055,0.07125,0.01625,0.0625,0.0,0.09246575342465754,0.0275,0.6025342465753425,1
0.0525,0.055,0.06,0.0675,0.0625,0.0,0.0821917808219178,0.0275,0.5928082191780821,0
0.06375,0.05,0.07,0.02125,0.0625,0.07530120481927711,0.0839041095890411,0.0275,0.5457946855916818,2
0.0625,0.0675,0.06,0.08125,0.0625,0.0,0.09075342465753425,0.0275,0.5479965753424658,0
0.06,0.05625,0.07375,0.025,0.0625,0.0,0.09931506849315068,0.0425,0.5806849315068494,1
0.06875,0.0625,0.0825,0.045,0.0625,0.0,0.0839041095890411,0.0275,0.567345890410959,0
0.05,0.04875,0.075,0.01875,0.0625,0.0,0.09931506849315068,0.0375,0.6081849315068493,2
0.05375,0.04875,0.0675,0.02625,0.0625,0.0,0.09075342465753425,0.03375,0.6167465753424657,1
0.0525,0.04625,0.07375,0.025,0.0625,0.0,0.08904109589041097,0.03625,0.614708904109589,1
0.05,0.0525,0.07125,0.04375,0.0625,0.0,0.09075342465753425,0.03125,0.5979965753424658,2
0.075,0.05,0.065,0.0575,0.0625,0.0,0.09075342465753425,0.0275,0.5717465753424658,0
0.0825,0.06875,0.05625,0.02375,0.0625,0.0,0.07876712328767124,0.0275,0.5999828767123287,0
0.0575,0.055,0.065,0.01375,0.0625,0.0,0.08561643835616438,0.0275,0.6331335616438356,2
0.05875,0.04875,0.0625,0.01375,0.0625,0.0,0.0839041095890411,0.05,0.6198458904109589,2
0.0725,0.05875,0.0675,0.01375,0.0625,0.0,0.08732876712328767,0.0325,0.6051712328767123,1
0.0625,0.0425,0.06875,0.02625,0.0625,0.0,0.0839041095890411,0.0275,0.6260958904109588,1
0.07625,0.075,0.06875,0.02625,0.0625,0.0,0.08561643835616438,0.03125,0.5743835616438356,1
0.05625,0.05,0.0625,0.02,0.0625,0.0,0.08561643835616438,0.0275,0.6356335616438356,2
0.05375,0.055,0.06,0.0275,0.0625,0.0,0.08732876712328767,0.0275,0.6264212328767123,2
0.09125,0.07875,0.0525,0.0375,0.0625,0.0,0.0839041095890411,0.0275,0.566095890410959,2
0.05375,0.06625,0.065,0.01625,0.0625,0.0,0.09417808219178084,0.0275,0.6145719178082192,2
0.0575,0.06625,0.065,0.01875,0.0625,0.0,0.09931506849315068,0.0275,0.6031849315068493,2
0.06375,0.06375,0.065,0.06375,0.0625,0.0,0.09246575342465754,0.0275,0.5612842465753425,0
0.07375,0.05625,0.06625,0.02375,0.0625,0.0,0.10102739726027397,0.03375,0.5827226027397261,2
