Algorithm,Evaluation Metric,Dataset Condition,Rank,Distance Metric,Average Score
DBSCAN,Adjusted Rand Index,Balanced (Low Imbalance),1,hamming,0.0071
DBSCAN,Adjusted Rand Index,Balanced (Low Imbalance),2,chebyshev,0.0067
DBSCAN,Adjusted Rand Index,Balanced (Low Imbalance),3,jensen_shannon,0.0064
DBSCAN,Adjusted Rand Index,Features: High Columns,1,kl_divergence,0.0181
DBSCAN,Adjusted Rand Index,Features: High Columns,2,hamming,0.016
DBSCAN,Adjusted Rand Index,Features: High Columns,3,bhattacharyya,0.0041
DBSCAN,Adjusted Rand Index,Features: Low Columns,1,euclidean,0.0266
DBSCAN,Adjusted Rand Index,Features: Low Columns,2,minkowski,0.0266
DBSCAN,Adjusted Rand Index,Features: Low Columns,3,total_variation,0.0262
DBSCAN,Adjusted Rand Index,Features: Medium Columns,1,canberra,0.1054
DBSCAN,Adjusted Rand Index,Features: Medium Columns,2,cosine,0.0709
DBSCAN,Adjusted Rand Index,Features: Medium Columns,3,braycurtis,0.0674
DBSCAN,Adjusted Rand Index,Imbalanced (High Imbalance),1,canberra,0.0742
DBSCAN,Adjusted Rand Index,Imbalanced (High Imbalance),2,cosine,0.0602
DBSCAN,Adjusted Rand Index,Imbalanced (High Imbalance),3,braycurtis,0.0555
DBSCAN,Adjusted Rand Index,Size: High Rows,1,canberra,0.1122
DBSCAN,Adjusted Rand Index,Size: High Rows,2,braycurtis,0.0945
DBSCAN,Adjusted Rand Index,Size: High Rows,3,cosine,0.0827
DBSCAN,Adjusted Rand Index,Size: Low Rows,1,kl_divergence,0.0137
DBSCAN,Adjusted Rand Index,Size: Low Rows,2,chebyshev,0.0126
DBSCAN,Adjusted Rand Index,Size: Low Rows,3,jensen_shannon,0.0104
DBSCAN,Adjusted Rand Index,Size: Medium Rows,1,kl_divergence,0.0091
DBSCAN,Adjusted Rand Index,Size: Medium Rows,2,hamming,0.0077
DBSCAN,Adjusted Rand Index,Size: Medium Rows,3,canberra,0.0031
DBSCAN,Calinski-Harabasz Score,Balanced (Low Imbalance),1,braycurtis,1573.7023
DBSCAN,Calinski-Harabasz Score,Balanced (Low Imbalance),2,chebyshev,1516.0722
DBSCAN,Calinski-Harabasz Score,Balanced (Low Imbalance),3,jensen_shannon,1469.951
DBSCAN,Calinski-Harabasz Score,Features: High Columns,1,bhattacharyya,243.6734
DBSCAN,Calinski-Harabasz Score,Features: High Columns,2,jensen_shannon,243.4514
DBSCAN,Calinski-Harabasz Score,Features: High Columns,3,kl_divergence,147.3735
DBSCAN,Calinski-Harabasz Score,Features: Low Columns,1,euclidean,1677.8412
DBSCAN,Calinski-Harabasz Score,Features: Low Columns,2,minkowski,1677.8412
DBSCAN,Calinski-Harabasz Score,Features: Low Columns,3,manhattan,1668.3668
DBSCAN,Calinski-Harabasz Score,Features: Medium Columns,1,jensen_shannon,1864.1713
DBSCAN,Calinski-Harabasz Score,Features: Medium Columns,2,kl_divergence,1864.0425
DBSCAN,Calinski-Harabasz Score,Features: Medium Columns,3,bhattacharyya,1863.5535
DBSCAN,Calinski-Harabasz Score,Imbalanced (High Imbalance),1,bhattacharyya,211.7009
DBSCAN,Calinski-Harabasz Score,Imbalanced (High Imbalance),2,jensen_shannon,211.4676
DBSCAN,Calinski-Harabasz Score,Imbalanced (High Imbalance),3,kl_divergence,186.2698
DBSCAN,Calinski-Harabasz Score,Size: High Rows,1,braycurtis,3154.7805
DBSCAN,Calinski-Harabasz Score,Size: High Rows,2,chebyshev,2540.2022
DBSCAN,Calinski-Harabasz Score,Size: High Rows,3,jensen_shannon,2354.0091
DBSCAN,Calinski-Harabasz Score,Size: Low Rows,1,chebyshev,169.6755
DBSCAN,Calinski-Harabasz Score,Size: Low Rows,2,total_variation,165.6799
DBSCAN,Calinski-Harabasz Score,Size: Low Rows,3,jensen_shannon,154.7123
DBSCAN,Calinski-Harabasz Score,Size: Medium Rows,1,euclidean,184.7707
DBSCAN,Calinski-Harabasz Score,Size: Medium Rows,2,minkowski,184.7707
DBSCAN,Calinski-Harabasz Score,Size: Medium Rows,3,total_variation,180.84
DBSCAN,Davies-Bouldin Score,Balanced (Low Imbalance),1,total_variation,1.2187
DBSCAN,Davies-Bouldin Score,Balanced (Low Imbalance),2,jensen_shannon,1.2724
DBSCAN,Davies-Bouldin Score,Balanced (Low Imbalance),3,bhattacharyya,1.2844
DBSCAN,Davies-Bouldin Score,Features: High Columns,1,earth_movers,0.7611
DBSCAN,Davies-Bouldin Score,Features: High Columns,2,total_variation,1.0094
DBSCAN,Davies-Bouldin Score,Features: High Columns,3,manhattan,1.2725
DBSCAN,Davies-Bouldin Score,Features: Low Columns,1,hamming,1.3801
DBSCAN,Davies-Bouldin Score,Features: Low Columns,2,total_variation,1.4782
DBSCAN,Davies-Bouldin Score,Features: Low Columns,3,cosine,1.7406
DBSCAN,Davies-Bouldin Score,Features: Medium Columns,1,hamming,1.3074
DBSCAN,Davies-Bouldin Score,Features: Medium Columns,2,total_variation,1.3886
DBSCAN,Davies-Bouldin Score,Features: Medium Columns,3,jensen_shannon,1.3991
DBSCAN,Davies-Bouldin Score,Imbalanced (High Imbalance),1,total_variation,1.436
DBSCAN,Davies-Bouldin Score,Imbalanced (High Imbalance),2,earth_movers,1.5792
DBSCAN,Davies-Bouldin Score,Imbalanced (High Imbalance),3,manhattan,1.6548
DBSCAN,Davies-Bouldin Score,Size: High Rows,1,earth_movers,1.0047
DBSCAN,Davies-Bouldin Score,Size: High Rows,2,jensen_shannon,1.33
DBSCAN,Davies-Bouldin Score,Size: High Rows,3,bhattacharyya,1.3321
DBSCAN,Davies-Bouldin Score,Size: Low Rows,1,hamming,0.8989
DBSCAN,Davies-Bouldin Score,Size: Low Rows,2,total_variation,1.1797
DBSCAN,Davies-Bouldin Score,Size: Low Rows,3,euclidean,1.3459
DBSCAN,Davies-Bouldin Score,Size: Medium Rows,1,total_variation,1.4084
DBSCAN,Davies-Bouldin Score,Size: Medium Rows,2,manhattan,1.7761
DBSCAN,Davies-Bouldin Score,Size: Medium Rows,3,earth_movers,1.9014
DBSCAN,Normalized Mutual Info,Balanced (Low Imbalance),1,kl_divergence,0.0469
